disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor
Urinary Tract Infection,Bladder Discomfort,Foul Smell Of Urine,Continuous Feel Of Urine,High Fever,Headache,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Varicose Veins, Diabetes",Breathlessness
Urinary Tract Infection,Burning Micturition,Foul Smell Of Urine,Continuous Feel Of Urine,High Fever,Headache,Nausea,Skin Rash +  Joint Pain,"Dengue, Pneumonia, Paralysis (Brain Hemorrhage)",Rash Pattern
Urinary Tract Infection,Burning Micturition,Bladder Discomfort,Continuous Feel Of Urine,High Fever,Headache,Nausea,Chills +  Vomiting,"Malaria, Alcoholic Hepatitis, Drug Reaction",Inflammatory Markers
Urinary Tract Infection,Burning Micturition,Bladder Discomfort,Foul Smell Of Urine,High Fever,Headache,Nausea,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Tuberculosis, Psoriasis",Platelet Count
Urinary Tract Infection,Burning Micturition,Bladder Discomfort,Foul Smell Of Urine,Continuous Feel Of Urine,Headache,Nausea,Continuous Sneezing +  Shivering,"Allergy, Hypothyroidism, Arthritis",Inflammatory Markers
Urinary Tract Infection,Burning Micturition,Bladder Discomfort,Continuous Feel Of Urine,High Fever,Headache,Nausea,Mood Swings +  Weight Loss,"Hyperthyroidism, Arthritis, Malaria",Oxygen Saturation
Urinary Tract Infection,Bladder Discomfort,Foul Smell Of Urine,Continuous Feel Of Urine,High Fever,Headache,Nausea,Vomiting +  Dehydration,"Gastroenteritis, Typhoid, Chicken Pox",Platelet Count
Urinary Tract Infection,Burning Micturition,Bladder Discomfort,Continuous Feel Of Urine,High Fever,Headache,Nausea,Vomiting +  Fatigue,"Hypoglycemia, Acne, (Vertigo) Paroymsal  Positional Vertigo",Pcr Confirmation
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Muscle Wasting +  Patches In Throat,"Aids, Peptic Ulcer Diseae",Rash Pattern
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Chills +  Fatigue,"Pneumonia, Malaria, Psoriasis",Cbc Test
Psoriasis,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Nausea,Acidity +  Indigestion,"Migraine, Hepatitis D, Malaria",Breathlessness
Psoriasis,Skin Rash,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Nausea,Headache +  Chest Pain,"Hypertension , Gerd",Platelet Count
Psoriasis,Skin Rash,Joint Pain,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Nausea,Continuous Sneezing +  Shivering,"Allergy, Acne, Paralysis (Brain Hemorrhage)",Cbc Test
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Small Dents In Nails,Inflammatory Nails,Nausea,Chills +  Vomiting,"Tuberculosis, Hypertension , Hypoglycemia",Platelet Count
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Inflammatory Nails,Nausea,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Osteoarthristis, Paralysis (Brain Hemorrhage)",Platelet Count
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Nausea,Chills +  Vomiting,"Typhoid, Fungal Infection, Hypoglycemia",Oxygen Saturation
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Skin Rash +  Joint Pain,"Psoriasis, Hypoglycemia, Pneumonia",Platelet Count
Psoriasis,Skin Rash,Joint Pain,Skin Peeling,Silver Like Dusting,Small Dents In Nails,Inflammatory Nails,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Osteoarthristis, Hepatitis A",Inflammatory Markers
Impetigo,Skin Rash,High Fever,Blister,Red Sore Around Nose,Yellow Crust Ooze,Nausea,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Urinary Tract Infection",Travel History
Impetigo,Skin Rash,High Fever,Blister,Red Sore Around Nose,Yellow Crust Ooze,Nausea,Vomiting +  High Fever,"Malaria, (Vertigo) Paroymsal  Positional Vertigo, Common Cold",Pcr Confirmation
Impetigo,High Fever,Blister,Red Sore Around Nose,Yellow Crust Ooze,Headache,Nausea,Fatigue +  Lethargy,"Hepatitis B, Bronchial Asthma, Heart Attack",Travel History
Impetigo,Skin Rash,Blister,Red Sore Around Nose,Yellow Crust Ooze,Headache,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Typhoid, Peptic Ulcer Diseae",Platelet Count
Impetigo,Skin Rash,Blister,Red Sore Around Nose,Yellow Crust Ooze,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis D, Chicken Pox, Hypoglycemia",Rash Pattern
Impetigo,Skin Rash,High Fever,Red Sore Around Nose,Yellow Crust Ooze,Headache,Nausea,Cramps +  Bruising,"Varicose Veins, Heart Attack, Impetigo",Pcr Confirmation
Impetigo,Skin Rash,High Fever,Blister,Yellow Crust Ooze,Headache,Nausea,Itching +  Vomiting,"Jaundice, Hepatitis B, Fungal Infection",Pcr Confirmation
Impetigo,Skin Rash,High Fever,Blister,Red Sore Around Nose,Headache,Nausea,Chills +  Vomiting,"Typhoid, Hypertension , Gastroenteritis",Breathlessness
Impetigo,Skin Rash,High Fever,Blister,Red Sore Around Nose,Yellow Crust Ooze,Nausea,Skin Rash +  Joint Pain,"Psoriasis, Chicken Pox, Pneumonia",Inflammatory Markers
Impetigo,Skin Rash,Blister,Red Sore Around Nose,Yellow Crust Ooze,Headache,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Psoriasis, Drug Reaction",Inflammatory Markers
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,Headache,Nausea,Fatigue +  Weight Loss,"Diabetes , Urinary Tract Infection, Hypoglycemia",Oxygen Saturation
Fungal Infection,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Muscle Weakness +  Stiff Neck,"Arthritis, Migraine, Jaundice",Travel History
Fungal Infection,Itching,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Varicose Veins, Gerd",Cbc Test
Fungal Infection,Itching,Skin Rash,Dischromic  Patches,High Fever,Headache,Nausea,Continuous Sneezing +  Chills,"Common Cold, Typhoid, Bronchial Asthma",Chest Pain Pattern
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Malaria, Typhoid",Cbc Test
Fungal Infection,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Itching +  Skin Rash,"Drug Reaction, Hypothyroidism, Aids",Inflammatory Markers
Fungal Infection,Itching,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, (Vertigo) Paroymsal  Positional Vertigo, Urinary Tract Infection",Pcr Confirmation
Fungal Infection,Itching,Skin Rash,Dischromic  Patches,High Fever,Headache,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Drug Reaction, Arthritis",Oxygen Saturation
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,High Fever,Headache,Nausea,Itching +  Skin Rash,"Fungal Infection, Allergy, Hepatitis B",Pcr Confirmation
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,Headache,Nausea,Itching +  Skin Rash,"Drug Reaction, Migraine, Chronic Cholestasis",Rash Pattern
Allergy,Continuous Sneezing,Shivering,Chills,Watering From Eyes,Headache,Nausea,Stomach Pain +  Acidity,"Gerd, Urinary Tract Infection, Alcoholic Hepatitis",Oxygen Saturation
Allergy,Shivering,Chills,Watering From Eyes,High Fever,Headache,Nausea,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Fungal Infection",Breathlessness
Allergy,Continuous Sneezing,Chills,Watering From Eyes,High Fever,Headache,Nausea,Skin Rash +  Chills,"Dengue, Hepatitis E, Arthritis",Pcr Confirmation
Allergy,Continuous Sneezing,Shivering,Watering From Eyes,High Fever,Headache,Nausea,Vomiting +  Dehydration,"Gastroenteritis, Impetigo, Diabetes",Oxygen Saturation
Allergy,Continuous Sneezing,Shivering,Chills,High Fever,Headache,Nausea,Acidity +  Ulcers On Tongue,"Gerd, Hepatitis D, Hepatitis A",Chest Pain Pattern
Allergy,Shivering,Chills,Watering From Eyes,High Fever,Headache,Nausea,Skin Rash +  Chills,"Dengue, Peptic Ulcer Diseae, Typhoid",Symptom Duration
Allergy,Continuous Sneezing,Chills,Watering From Eyes,High Fever,Headache,Nausea,Back Pain +  Neck Pain,"Cervical Spondylosis, Gerd, Hypoglycemia",Breathlessness
Allergy,Continuous Sneezing,Shivering,Watering From Eyes,High Fever,Headache,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Hypertension , Hepatitis E",Chest Pain Pattern
Allergy,Continuous Sneezing,Shivering,Chills,High Fever,Headache,Nausea,Skin Rash +  High Fever,"Impetigo, Gerd, Osteoarthristis",Pcr Confirmation
Allergy,Continuous Sneezing,Shivering,Chills,Watering From Eyes,Headache,Nausea,Fatigue +  Weight Gain,"Hypothyroidism, Hypoglycemia, Aids",Oxygen Saturation
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Joint Pain +  Vomiting,"Hepatitis E, Hepatitis C, Aids",Pcr Confirmation
Gerd,Stomach Pain,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Pain During Bowel Movements +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Alcoholic Hepatitis, Aids",Inflammatory Markers
Gerd,Stomach Pain,Acidity,Vomiting,Cough,Chest Pain,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Typhoid",Symptom Duration
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Cough,Chest Pain,Nausea,Chills +  Vomiting,"Tuberculosis, Dengue, (Vertigo) Paroymsal  Positional Vertigo",Breathlessness
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Chest Pain,Nausea,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Hepatitis D, Drug Reaction",Breathlessness
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Cough,Nausea,Itching +  Vomiting,"Jaundice, Impetigo, Dengue",Breathlessness
Gerd,Acidity,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Fatigue +  Anxiety,"Hypoglycemia, Osteoarthristis, Migraine",Cbc Test
Gerd,Stomach Pain,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Urinary Tract Infection, Hypoglycemia",Breathlessness
Gerd,Stomach Pain,Acidity,Vomiting,Cough,Chest Pain,Nausea,Headache +  Chest Pain,"Hypertension , Pneumonia, Paralysis (Brain Hemorrhage)",Inflammatory Markers
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Cough,Chest Pain,Nausea,Fatigue +  Nausea,"Hepatitis C, Pneumonia, Cervical Spondylosis",Chest Pain Pattern
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Fatigue +  Cough,"Pneumonia, Hepatitis E, Hypoglycemia",Travel History
Chronic Cholestasis,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Fatigue +  Cough,"Pneumonia, Varicose Veins",Oxygen Saturation
Chronic Cholestasis,Itching,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Stomach Pain +  Acidity,"Gerd, Drug Reaction, Hypothyroidism",Oxygen Saturation
Chronic Cholestasis,Itching,Vomiting,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Fatigue +  Weight Gain,"Hypothyroidism, Fungal Infection, Gerd",Platelet Count
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Pain During Bowel Movements +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Osteoarthristis, Aids",Breathlessness
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Abdominal Pain,Yellowing Of Eyes,Muscle Wasting +  Patches In Throat,"Aids, Arthritis, Urinary Tract Infection",Cbc Test
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Yellowing Of Eyes,Skin Rash +  Pus Filled Pimples,"Acne, Chronic Cholestasis, Urinary Tract Infection",Platelet Count
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Headache +  Nausea,"(Vertigo) Paroymsal  Positional Vertigo, Hypothyroidism, Acne",Breathlessness
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Fatigue +  Cramps,"Varicose Veins, Diabetes , Peptic Ulcer Diseae",Oxygen Saturation
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Hepatitis E, Chronic Cholestasis",Breathlessness
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Spotting  Urination,Nausea,Chills +  Vomiting,"Malaria, Gerd, Hypothyroidism",Pcr Confirmation
Drug Reaction,Itching,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis E, Osteoarthristis, Malaria",Chest Pain Pattern
Drug Reaction,Itching,Skin Rash,Burning Micturition,Spotting  Urination,Headache,Nausea,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Bronchial Asthma, Hepatitis D",Rash Pattern
Drug Reaction,Itching,Skin Rash,Stomach Pain,Spotting  Urination,Headache,Nausea,Chills +  Vomiting,"Malaria, Heart Attack, Hepatitis B",Platelet Count
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Headache,Nausea,Vomiting +  Fatigue,"Hypoglycemia, Arthritis, Drug Reaction",Pcr Confirmation
Drug Reaction,Skin Rash,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Patches In Throat +  High Fever,"Aids, Hypoglycemia, Impetigo",Cbc Test
Drug Reaction,Itching,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis E, Typhoid, Chronic Cholestasis",Rash Pattern
Drug Reaction,Itching,Skin Rash,Burning Micturition,Spotting  Urination,Headache,Nausea,Chills +  Fatigue,"Pneumonia, Hypertension , Aids",Cbc Test
Drug Reaction,Itching,Skin Rash,Stomach Pain,Spotting  Urination,Headache,Nausea,Itching +  Vomiting,"Jaundice, Hepatitis B, Fungal Infection",Oxygen Saturation
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Headache,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Varicose Veins, Chicken Pox",Oxygen Saturation
Peptic Ulcer Diseae,Vomiting,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Muscle Weakness +  Stiff Neck,"Arthritis, Pneumonia, Hepatitis D",Cbc Test
Peptic Ulcer Diseae,Vomiting,Indigestion,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Joint Pain +  Vomiting,"Hepatitis D, Tuberculosis, Fungal Infection",Breathlessness
Peptic Ulcer Diseae,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Vomiting +  Breathlessness,"Heart Attack, Arthritis, Bronchial Asthma",Rash Pattern
Peptic Ulcer Diseae,Vomiting,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Itching +  Vomiting,"Jaundice, Impetigo, Acne",Oxygen Saturation
Peptic Ulcer Diseae,Vomiting,Indigestion,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Typhoid, Hepatitis E",Oxygen Saturation
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Passage Of Gases,Internal Itching,Nausea,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Gerd, Urinary Tract Infection",Platelet Count
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Internal Itching,Nausea,Skin Rash +  Joint Pain,"Psoriasis, Hypothyroidism, Chicken Pox",Inflammatory Markers
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Nausea,Chills +  Vomiting,"Tuberculosis, Hepatitis C, Hepatitis E",Breathlessness
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Joint Pain +  Vomiting,"Hepatitis E, Hypothyroidism, Malaria",Cbc Test
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Continuous Sneezing +  Chills,"Common Cold, Hypothyroidism, Bronchial Asthma",Symptom Duration
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis D, Impetigo, Acne",Breathlessness
Aids,Patches In Throat,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Cervical Spondylosis, Aids",Platelet Count
Aids,Muscle Wasting,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Continuous Sneezing +  Chills,"Common Cold, Varicose Veins, Gerd",Oxygen Saturation
Aids,Muscle Wasting,Patches In Throat,Extra Marital Contacts,High Fever,Headache,Nausea,Continuous Sneezing +  Chills,"Common Cold, Aids",Breathlessness
Aids,Muscle Wasting,Patches In Throat,High Fever,High Fever,Headache,Nausea,Neck Pain +  Knee Pain,"Osteoarthristis, Tuberculosis, Hepatitis B",Breathlessness
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Stomach Pain +  Acidity,"Gerd, Hepatitis D, Hepatitis C",Rash Pattern
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis E, Pneumonia, Hepatitis C",Pcr Confirmation
Aids,Patches In Throat,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, Heart Attack, Cervical Spondylosis",Travel History
Aids,Muscle Wasting,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, Paralysis (Brain Hemorrhage), Hyperthyroidism",Chest Pain Pattern
Aids,Muscle Wasting,Patches In Throat,High Fever,High Fever,Headache,Nausea,Itching +  Skin Rash,"Fungal Infection, Aids, Osteoarthristis",Breathlessness
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Itching +  Skin Rash,"Chicken Pox, Tuberculosis",Platelet Count
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Itching +  Skin Rash,"Drug Reaction, Diabetes , Hepatitis E",Travel History
Diabetes,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Diabetes , Dengue",Breathlessness
Diabetes,Fatigue,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Muscle Weakness +  Stiff Neck,"Arthritis, Bronchial Asthma, Malaria",Breathlessness
Diabetes,Fatigue,Weight Loss,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Itching +  Skin Rash,"Chicken Pox, Jaundice, (Vertigo) Paroymsal  Positional Vertigo",Rash Pattern
Diabetes,Fatigue,Weight Loss,Restlessness,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Fatigue +  Weight Loss,"Hyperthyroidism, Bronchial Asthma, Dimorphic Hemmorhoids(Piles)",Travel History
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Blurred And Distorted Vision,Obesity,Itching +  Skin Rash,"Drug Reaction, Hypothyroidism, Heart Attack",Travel History
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Obesity,Skin Rash +  Blister,"Impetigo, Heart Attack, Hepatitis A",Cbc Test
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Fatigue +  Cough,"Bronchial Asthma, Common Cold, Hypertension",Pcr Confirmation
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Itching +  Skin Rash,"Drug Reaction, Hepatitis E, Impetigo",Chest Pain Pattern
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Sunken Eyes +  Dehydration,"Gastroenteritis, Hyperthyroidism, Bronchial Asthma",Platelet Count
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Hepatitis C, Psoriasis",Platelet Count
Gastroenteritis,Sunken Eyes,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Itching +  Skin Rash,"Fungal Infection, Peptic Ulcer Diseae, Paralysis (Brain Hemorrhage)",Cbc Test
Gastroenteritis,Vomiting,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Acidity +  Ulcers On Tongue,"Gerd, Fungal Infection, Acne",Breathlessness
Gastroenteritis,Vomiting,Sunken Eyes,Diarrhoea,High Fever,Headache,Nausea,Headache +  Chest Pain,"Hypertension , Varicose Veins, Migraine",Inflammatory Markers
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,High Fever,Headache,Nausea,Itching +  Vomiting,"Chronic Cholestasis, Osteoarthristis, Typhoid",Inflammatory Markers
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Chronic Cholestasis, Aids",Breathlessness
Gastroenteritis,Sunken Eyes,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Joint Pain +  Neck Pain,"Osteoarthristis, Hyperthyroidism",Oxygen Saturation
Gastroenteritis,Vomiting,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Continuous Sneezing +  Shivering,"Allergy, Malaria, Osteoarthristis",Breathlessness
Gastroenteritis,Vomiting,Sunken Eyes,Diarrhoea,High Fever,Headache,Nausea,Chills +  Vomiting,"Typhoid, Drug Reaction, Psoriasis",Chest Pain Pattern
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Fatigue +  Yellowish Skin,"Hepatitis C, (Vertigo) Paroymsal  Positional Vertigo, Arthritis",Oxygen Saturation
Bronchial Asthma,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Chills +  Vomiting,"Typhoid, Migraine, Drug Reaction",Breathlessness
Bronchial Asthma,Fatigue,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Aids, Peptic Ulcer Diseae",Platelet Count
Bronchial Asthma,Fatigue,Cough,Breathlessness,Family History,Mucoid Sputum,Nausea,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Migraine, (Vertigo) Paroymsal  Positional Vertigo",Pcr Confirmation
Bronchial Asthma,Fatigue,Cough,High Fever,Family History,Mucoid Sputum,Nausea,Chills +  Fatigue,"Pneumonia, Hepatitis E, Cervical Spondylosis",Breathlessness
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Mucoid Sputum,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Hypertension , Bronchial Asthma",Breathlessness
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Malaria",Cbc Test
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Chronic Cholestasis, Dengue",Oxygen Saturation
Bronchial Asthma,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Aids, Dengue",Platelet Count
Bronchial Asthma,Fatigue,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Joint Pain +  Vomiting,"Hepatitis E, Gerd, Psoriasis",Pcr Confirmation
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Nausea,Continuous Sneezing +  Chills,"Common Cold, Gastroenteritis, Hepatitis B",Pcr Confirmation
Hypertension,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Dimorphic Hemmorhoids(Piles), Gastroenteritis",Oxygen Saturation
Hypertension,Headache,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Skin Rash +  High Fever,"Impetigo, Dimorphic Hemmorhoids(Piles), Acne",Travel History
Hypertension,Headache,Chest Pain,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Fatigue +  Weight Loss,"Diabetes , Tuberculosis, Hepatitis C",Rash Pattern
Hypertension,Headache,Chest Pain,Dizziness,Lack Of Concentration,Headache,Nausea,Stomach Pain +  Acidity,"Gerd, Paralysis (Brain Hemorrhage), Psoriasis",Symptom Duration
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Gerd, Hepatitis E",Rash Pattern
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Nausea,Skin Rash +  Chills,"Dengue, Fungal Infection, Pneumonia",Pcr Confirmation
Hypertension,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Drug Reaction, Hepatitis B",Platelet Count
Hypertension,Headache,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Jaundice, Arthritis",Breathlessness
Hypertension,Headache,Chest Pain,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Itching +  Skin Rash,"Chicken Pox, Urinary Tract Infection, Hypoglycemia",Platelet Count
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Vomiting +  Breathlessness,"Heart Attack, Hepatitis B, Hypoglycemia",Symptom Duration
Migraine,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Peptic Ulcer Diseae, Heart Attack",Oxygen Saturation
Migraine,Acidity,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Acidity +  Indigestion,"Migraine, Paralysis (Brain Hemorrhage), Hyperthyroidism",Platelet Count
Migraine,Acidity,Indigestion,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Chills +  Vomiting,"Typhoid, Hypoglycemia, Jaundice",Cbc Test
Migraine,Acidity,Indigestion,Headache,Excessive Hunger,Stiff Neck,Depression,Fatigue +  Weight Loss,"Diabetes , Typhoid, Varicose Veins",Cbc Test
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Stiff Neck,Depression,Joint Pain +  Vomiting,"Hepatitis D, Psoriasis, Dimorphic Hemmorhoids(Piles)",Travel History
