symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Chest Pain,Triggered By Activity (Variant 646)?,Trigger,Yes/No,Medium,Respiratory,No
Chest Pain,Localized Or Widespread (Variant 647)?,Location,Localized/Diffuse,High,Cardiac,Yes
Chest Pain,Constant Or Intermittent (Variant 648)?,Pattern,Constant/Intermittent,Low,Neurology,No
Chest Pain,Does It Affect Daily Activities (Variant 649)?,Impact,Yes/No,Medium,Gi,Yes
Chest Pain,Any Emergency Warning Signs (Variant 650)?,Emergency Flag,Yes/No,High,Endocrine,No
Headache,Since How Many Days (Variant 651)?,Duration,Numeric,Low,Msk,Yes
Headache,"Mild, Moderate Or Severe (Variant 652)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Headache,How Frequently Does It Occur (Variant 653)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Headache,When Did It Start Worsening (Variant 654)?,Progression,Numeric,Low,General,No
Headache,Any Associated Symptoms Present (Variant 655)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Headache,Triggered By Activity (Variant 656)?,Trigger,Yes/No,High,Cardiac,No
Headache,Localized Or Widespread (Variant 657)?,Location,Localized/Diffuse,Low,Neurology,Yes
Headache,Constant Or Intermittent (Variant 658)?,Pattern,Constant/Intermittent,Medium,Gi,No
Headache,Does It Affect Daily Activities (Variant 659)?,Impact,Yes/No,High,Endocrine,Yes
Headache,Any Emergency Warning Signs (Variant 660)?,Emergency Flag,Yes/No,Low,Msk,No
Dizziness,Since How Many Days (Variant 661)?,Duration,Numeric,Medium,Dermatology,Yes
Dizziness,"Mild, Moderate Or Severe (Variant 662)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Dizziness,How Frequently Does It Occur (Variant 663)?,Frequency,Occasional/Frequent,Low,General,Yes
Dizziness,When Did It Start Worsening (Variant 664)?,Progression,Numeric,Medium,Respiratory,No
Dizziness,Any Associated Symptoms Present (Variant 665)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Dizziness,Triggered By Activity (Variant 666)?,Trigger,Yes/No,Low,Neurology,No
Dizziness,Localized Or Widespread (Variant 667)?,Location,Localized/Diffuse,Medium,Gi,Yes
Dizziness,Constant Or Intermittent (Variant 668)?,Pattern,Constant/Intermittent,High,Endocrine,No
Dizziness,Does It Affect Daily Activities (Variant 669)?,Impact,Yes/No,Low,Msk,Yes
Dizziness,Any Emergency Warning Signs (Variant 670)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Nausea,Since How Many Days (Variant 671)?,Duration,Numeric,High,Emergency,Yes
Nausea,"Mild, Moderate Or Severe (Variant 672)?",Severity,Mild/Moderate/Severe,Low,General,No
Nausea,How Frequently Does It Occur (Variant 673)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Nausea,When Did It Start Worsening (Variant 674)?,Progression,Numeric,High,Cardiac,No
Nausea,Any Associated Symptoms Present (Variant 675)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Nausea,Triggered By Activity (Variant 676)?,Trigger,Yes/No,Medium,Gi,No
Nausea,Localized Or Widespread (Variant 677)?,Location,Localized/Diffuse,High,Endocrine,Yes
Nausea,Constant Or Intermittent (Variant 678)?,Pattern,Constant/Intermittent,Low,Msk,No
Nausea,Does It Affect Daily Activities (Variant 679)?,Impact,Yes/No,Medium,Dermatology,Yes
Nausea,Any Emergency Warning Signs (Variant 680)?,Emergency Flag,Yes/No,High,Emergency,No
Vomiting,Since How Many Days (Variant 681)?,Duration,Numeric,Low,General,Yes
Vomiting,"Mild, Moderate Or Severe (Variant 682)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Vomiting,How Frequently Does It Occur (Variant 683)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Vomiting,When Did It Start Worsening (Variant 684)?,Progression,Numeric,Low,Neurology,No
Vomiting,Any Associated Symptoms Present (Variant 685)?,Associated Symptom,Yes/No,Medium,Gi,Yes
Vomiting,Triggered By Activity (Variant 686)?,Trigger,Yes/No,High,Endocrine,No
Vomiting,Localized Or Widespread (Variant 687)?,Location,Localized/Diffuse,Low,Msk,Yes
Vomiting,Constant Or Intermittent (Variant 688)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Vomiting,Does It Affect Daily Activities (Variant 689)?,Impact,Yes/No,High,Emergency,Yes
Vomiting,Any Emergency Warning Signs (Variant 690)?,Emergency Flag,Yes/No,Low,General,No
Diarrhea,Since How Many Days (Variant 691)?,Duration,Numeric,Medium,Respiratory,Yes
Diarrhea,"Mild, Moderate Or Severe (Variant 692)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Diarrhea,How Frequently Does It Occur (Variant 693)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Diarrhea,When Did It Start Worsening (Variant 694)?,Progression,Numeric,Medium,Gi,No
Diarrhea,Any Associated Symptoms Present (Variant 695)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Diarrhea,Triggered By Activity (Variant 696)?,Trigger,Yes/No,Low,Msk,No
Diarrhea,Localized Or Widespread (Variant 697)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Diarrhea,Constant Or Intermittent (Variant 698)?,Pattern,Constant/Intermittent,High,Emergency,No
Diarrhea,Does It Affect Daily Activities (Variant 699)?,Impact,Yes/No,Low,General,Yes
Diarrhea,Any Emergency Warning Signs (Variant 700)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Constipation,Since How Many Days (Variant 701)?,Duration,Numeric,High,Cardiac,Yes
Constipation,"Mild, Moderate Or Severe (Variant 702)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Constipation,How Frequently Does It Occur (Variant 703)?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Constipation,When Did It Start Worsening (Variant 704)?,Progression,Numeric,High,Endocrine,No
Constipation,Any Associated Symptoms Present (Variant 705)?,Associated Symptom,Yes/No,Low,Msk,Yes
Constipation,Triggered By Activity (Variant 706)?,Trigger,Yes/No,Medium,Dermatology,No
Constipation,Localized Or Widespread (Variant 707)?,Location,Localized/Diffuse,High,Emergency,Yes
Constipation,Constant Or Intermittent (Variant 708)?,Pattern,Constant/Intermittent,Low,General,No
Constipation,Does It Affect Daily Activities (Variant 709)?,Impact,Yes/No,Medium,Respiratory,Yes
Constipation,Any Emergency Warning Signs (Variant 710)?,Emergency Flag,Yes/No,High,Cardiac,No
Abdominal Pain,Since How Many Days (Variant 711)?,Duration,Numeric,Low,Neurology,Yes
Abdominal Pain,"Mild, Moderate Or Severe (Variant 712)?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Abdominal Pain,How Frequently Does It Occur (Variant 713)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Abdominal Pain,When Did It Start Worsening (Variant 714)?,Progression,Numeric,Low,Msk,No
Abdominal Pain,Any Associated Symptoms Present (Variant 715)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Abdominal Pain,Triggered By Activity (Variant 716)?,Trigger,Yes/No,High,Emergency,No
Abdominal Pain,Localized Or Widespread (Variant 717)?,Location,Localized/Diffuse,Low,General,Yes
Abdominal Pain,Constant Or Intermittent (Variant 718)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Abdominal Pain,Does It Affect Daily Activities (Variant 719)?,Impact,Yes/No,High,Cardiac,Yes
Abdominal Pain,Any Emergency Warning Signs (Variant 720)?,Emergency Flag,Yes/No,Low,Neurology,No
Back Pain,Since How Many Days (Variant 721)?,Duration,Numeric,Medium,Gi,Yes
Back Pain,"Mild, Moderate Or Severe (Variant 722)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Back Pain,How Frequently Does It Occur (Variant 723)?,Frequency,Occasional/Frequent,Low,Msk,Yes
Back Pain,When Did It Start Worsening (Variant 724)?,Progression,Numeric,Medium,Dermatology,No
Back Pain,Any Associated Symptoms Present (Variant 725)?,Associated Symptom,Yes/No,High,Emergency,Yes
Back Pain,Triggered By Activity (Variant 726)?,Trigger,Yes/No,Low,General,No
Back Pain,Localized Or Widespread (Variant 727)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Back Pain,Constant Or Intermittent (Variant 728)?,Pattern,Constant/Intermittent,High,Cardiac,No
Back Pain,Does It Affect Daily Activities (Variant 729)?,Impact,Yes/No,Low,Neurology,Yes
Back Pain,Any Emergency Warning Signs (Variant 730)?,Emergency Flag,Yes/No,Medium,Gi,No
Joint Pain,Since How Many Days (Variant 731)?,Duration,Numeric,High,Endocrine,Yes
Joint Pain,"Mild, Moderate Or Severe (Variant 732)?",Severity,Mild/Moderate/Severe,Low,Msk,No
Joint Pain,How Frequently Does It Occur (Variant 733)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Joint Pain,When Did It Start Worsening (Variant 734)?,Progression,Numeric,High,Emergency,No
Joint Pain,Any Associated Symptoms Present (Variant 735)?,Associated Symptom,Yes/No,Low,General,Yes
Joint Pain,Triggered By Activity (Variant 736)?,Trigger,Yes/No,Medium,Respiratory,No
Joint Pain,Localized Or Widespread (Variant 737)?,Location,Localized/Diffuse,High,Cardiac,Yes
Joint Pain,Constant Or Intermittent (Variant 738)?,Pattern,Constant/Intermittent,Low,Neurology,No
Joint Pain,Does It Affect Daily Activities (Variant 739)?,Impact,Yes/No,Medium,Gi,Yes
Joint Pain,Any Emergency Warning Signs (Variant 740)?,Emergency Flag,Yes/No,High,Endocrine,No
Muscle Pain,Since How Many Days (Variant 741)?,Duration,Numeric,Low,Msk,Yes
Muscle Pain,"Mild, Moderate Or Severe (Variant 742)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Muscle Pain,How Frequently Does It Occur (Variant 743)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Muscle Pain,When Did It Start Worsening (Variant 744)?,Progression,Numeric,Low,General,No
Muscle Pain,Any Associated Symptoms Present (Variant 745)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Muscle Pain,Triggered By Activity (Variant 746)?,Trigger,Yes/No,High,Cardiac,No
Muscle Pain,Localized Or Widespread (Variant 747)?,Location,Localized/Diffuse,Low,Neurology,Yes
Muscle Pain,Constant Or Intermittent (Variant 748)?,Pattern,Constant/Intermittent,Medium,Gi,No
Muscle Pain,Does It Affect Daily Activities (Variant 749)?,Impact,Yes/No,High,Endocrine,Yes
Muscle Pain,Any Emergency Warning Signs (Variant 750)?,Emergency Flag,Yes/No,Low,Msk,No
Palpitations,Since How Many Days (Variant 751)?,Duration,Numeric,Medium,Dermatology,Yes
Palpitations,"Mild, Moderate Or Severe (Variant 752)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Palpitations,How Frequently Does It Occur (Variant 753)?,Frequency,Occasional/Frequent,Low,General,Yes
Palpitations,When Did It Start Worsening (Variant 754)?,Progression,Numeric,Medium,Respiratory,No
Palpitations,Any Associated Symptoms Present (Variant 755)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Palpitations,Triggered By Activity (Variant 756)?,Trigger,Yes/No,Low,Neurology,No
Palpitations,Localized Or Widespread (Variant 757)?,Location,Localized/Diffuse,Medium,Gi,Yes
Palpitations,Constant Or Intermittent (Variant 758)?,Pattern,Constant/Intermittent,High,Endocrine,No
Palpitations,Does It Affect Daily Activities (Variant 759)?,Impact,Yes/No,Low,Msk,Yes
Palpitations,Any Emergency Warning Signs (Variant 760)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Leg Swelling,Since How Many Days (Variant 761)?,Duration,Numeric,High,Emergency,Yes
Leg Swelling,"Mild, Moderate Or Severe (Variant 762)?",Severity,Mild/Moderate/Severe,Low,General,No
Leg Swelling,How Frequently Does It Occur (Variant 763)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Leg Swelling,When Did It Start Worsening (Variant 764)?,Progression,Numeric,High,Cardiac,No
Leg Swelling,Any Associated Symptoms Present (Variant 765)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Leg Swelling,Triggered By Activity (Variant 766)?,Trigger,Yes/No,Medium,Gi,No
Leg Swelling,Localized Or Widespread (Variant 767)?,Location,Localized/Diffuse,High,Endocrine,Yes
Leg Swelling,Constant Or Intermittent (Variant 768)?,Pattern,Constant/Intermittent,Low,Msk,No
Leg Swelling,Does It Affect Daily Activities (Variant 769)?,Impact,Yes/No,Medium,Dermatology,Yes
Leg Swelling,Any Emergency Warning Signs (Variant 770)?,Emergency Flag,Yes/No,High,Emergency,No
Syncope,Since How Many Days (Variant 771)?,Duration,Numeric,Low,General,Yes
Syncope,"Mild, Moderate Or Severe (Variant 772)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Syncope,How Frequently Does It Occur (Variant 773)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Syncope,When Did It Start Worsening (Variant 774)?,Progression,Numeric,Low,Neurology,No
Syncope,Any Associated Symptoms Present (Variant 775)?,Associated Symptom,Yes/No,Medium,Gi,Yes
Syncope,Triggered By Activity (Variant 776)?,Trigger,Yes/No,High,Endocrine,No
Syncope,Localized Or Widespread (Variant 777)?,Location,Localized/Diffuse,Low,Msk,Yes
Syncope,Constant Or Intermittent (Variant 778)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Syncope,Does It Affect Daily Activities (Variant 779)?,Impact,Yes/No,High,Emergency,Yes
Syncope,Any Emergency Warning Signs (Variant 780)?,Emergency Flag,Yes/No,Low,General,No
Wheezing,Since How Many Days (Variant 781)?,Duration,Numeric,Medium,Respiratory,Yes
Wheezing,"Mild, Moderate Or Severe (Variant 782)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Wheezing,How Frequently Does It Occur (Variant 783)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Wheezing,When Did It Start Worsening (Variant 784)?,Progression,Numeric,Medium,Gi,No
Wheezing,Any Associated Symptoms Present (Variant 785)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Wheezing,Triggered By Activity (Variant 786)?,Trigger,Yes/No,Low,Msk,No
Wheezing,Localized Or Widespread (Variant 787)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Wheezing,Constant Or Intermittent (Variant 788)?,Pattern,Constant/Intermittent,High,Emergency,No
Wheezing,Does It Affect Daily Activities (Variant 789)?,Impact,Yes/No,Low,General,Yes
Wheezing,Any Emergency Warning Signs (Variant 790)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Sore Throat,Since How Many Days (Variant 791)?,Duration,Numeric,High,Cardiac,Yes
Sore Throat,"Mild, Moderate Or Severe (Variant 792)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Sore Throat,How Frequently Does It Occur (Variant 793)?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Sore Throat,When Did It Start Worsening (Variant 794)?,Progression,Numeric,High,Endocrine,No
Sore Throat,Any Associated Symptoms Present (Variant 795)?,Associated Symptom,Yes/No,Low,Msk,Yes
Sore Throat,Triggered By Activity (Variant 796)?,Trigger,Yes/No,Medium,Dermatology,No
Sore Throat,Localized Or Widespread (Variant 797)?,Location,Localized/Diffuse,High,Emergency,Yes
Sore Throat,Constant Or Intermittent (Variant 798)?,Pattern,Constant/Intermittent,Low,General,No
Sore Throat,Does It Affect Daily Activities (Variant 799)?,Impact,Yes/No,Medium,Respiratory,Yes
Sore Throat,Any Emergency Warning Signs (Variant 800)?,Emergency Flag,Yes/No,High,Cardiac,No
Runny Nose,Since How Many Days (Variant 801)?,Duration,Numeric,Low,Neurology,Yes
Runny Nose,"Mild, Moderate Or Severe (Variant 802)?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Runny Nose,How Frequently Does It Occur (Variant 803)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Runny Nose,When Did It Start Worsening (Variant 804)?,Progression,Numeric,Low,Msk,No
Runny Nose,Any Associated Symptoms Present (Variant 805)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Runny Nose,Triggered By Activity (Variant 806)?,Trigger,Yes/No,High,Emergency,No
Runny Nose,Localized Or Widespread (Variant 807)?,Location,Localized/Diffuse,Low,General,Yes
Runny Nose,Constant Or Intermittent (Variant 808)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Runny Nose,Does It Affect Daily Activities (Variant 809)?,Impact,Yes/No,High,Cardiac,Yes
Runny Nose,Any Emergency Warning Signs (Variant 810)?,Emergency Flag,Yes/No,Low,Neurology,No
Nasal Congestion,Since How Many Days (Variant 811)?,Duration,Numeric,Medium,Gi,Yes
Nasal Congestion,"Mild, Moderate Or Severe (Variant 812)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Nasal Congestion,How Frequently Does It Occur (Variant 813)?,Frequency,Occasional/Frequent,Low,Msk,Yes
Nasal Congestion,When Did It Start Worsening (Variant 814)?,Progression,Numeric,Medium,Dermatology,No
Nasal Congestion,Any Associated Symptoms Present (Variant 815)?,Associated Symptom,Yes/No,High,Emergency,Yes
Nasal Congestion,Triggered By Activity (Variant 816)?,Trigger,Yes/No,Low,General,No
Nasal Congestion,Localized Or Widespread (Variant 817)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Nasal Congestion,Constant Or Intermittent (Variant 818)?,Pattern,Constant/Intermittent,High,Cardiac,No
Nasal Congestion,Does It Affect Daily Activities (Variant 819)?,Impact,Yes/No,Low,Neurology,Yes
Nasal Congestion,Any Emergency Warning Signs (Variant 820)?,Emergency Flag,Yes/No,Medium,Gi,No
Chills,Since How Many Days (Variant 821)?,Duration,Numeric,High,Endocrine,Yes
Chills,"Mild, Moderate Or Severe (Variant 822)?",Severity,Mild/Moderate/Severe,Low,Msk,No
Chills,How Frequently Does It Occur (Variant 823)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chills,When Did It Start Worsening (Variant 824)?,Progression,Numeric,High,Emergency,No
Chills,Any Associated Symptoms Present (Variant 825)?,Associated Symptom,Yes/No,Low,General,Yes
Chills,Triggered By Activity (Variant 826)?,Trigger,Yes/No,Medium,Respiratory,No
Chills,Localized Or Widespread (Variant 827)?,Location,Localized/Diffuse,High,Cardiac,Yes
Chills,Constant Or Intermittent (Variant 828)?,Pattern,Constant/Intermittent,Low,Neurology,No
Chills,Does It Affect Daily Activities (Variant 829)?,Impact,Yes/No,Medium,Gi,Yes
Chills,Any Emergency Warning Signs (Variant 830)?,Emergency Flag,Yes/No,High,Endocrine,No
Night Sweats,Since How Many Days (Variant 831)?,Duration,Numeric,Low,Msk,Yes
Night Sweats,"Mild, Moderate Or Severe (Variant 832)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Night Sweats,How Frequently Does It Occur (Variant 833)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Night Sweats,When Did It Start Worsening (Variant 834)?,Progression,Numeric,Low,General,No
Night Sweats,Any Associated Symptoms Present (Variant 835)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Night Sweats,Triggered By Activity (Variant 836)?,Trigger,Yes/No,High,Cardiac,No
Night Sweats,Localized Or Widespread (Variant 837)?,Location,Localized/Diffuse,Low,Neurology,Yes
Night Sweats,Constant Or Intermittent (Variant 838)?,Pattern,Constant/Intermittent,Medium,Gi,No
Night Sweats,Does It Affect Daily Activities (Variant 839)?,Impact,Yes/No,High,Endocrine,Yes
Night Sweats,Any Emergency Warning Signs (Variant 840)?,Emergency Flag,Yes/No,Low,Msk,No
Weight Loss,Since How Many Days (Variant 841)?,Duration,Numeric,Medium,Dermatology,Yes
Weight Loss,"Mild, Moderate Or Severe (Variant 842)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Weight Loss,How Frequently Does It Occur (Variant 843)?,Frequency,Occasional/Frequent,Low,General,Yes
Weight Loss,When Did It Start Worsening (Variant 844)?,Progression,Numeric,Medium,Respiratory,No
Weight Loss,Any Associated Symptoms Present (Variant 845)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Weight Loss,Triggered By Activity (Variant 846)?,Trigger,Yes/No,Low,Neurology,No
Weight Loss,Localized Or Widespread (Variant 847)?,Location,Localized/Diffuse,Medium,Gi,Yes
Weight Loss,Constant Or Intermittent (Variant 848)?,Pattern,Constant/Intermittent,High,Endocrine,No
Weight Loss,Does It Affect Daily Activities (Variant 849)?,Impact,Yes/No,Low,Msk,Yes
Weight Loss,Any Emergency Warning Signs (Variant 850)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Loss Of Appetite,Since How Many Days (Variant 851)?,Duration,Numeric,High,Emergency,Yes
Loss Of Appetite,"Mild, Moderate Or Severe (Variant 852)?",Severity,Mild/Moderate/Severe,Low,General,No
Loss Of Appetite,How Frequently Does It Occur (Variant 853)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Loss Of Appetite,When Did It Start Worsening (Variant 854)?,Progression,Numeric,High,Cardiac,No
Loss Of Appetite,Any Associated Symptoms Present (Variant 855)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Loss Of Appetite,Triggered By Activity (Variant 856)?,Trigger,Yes/No,Medium,Gi,No
Loss Of Appetite,Localized Or Widespread (Variant 857)?,Location,Localized/Diffuse,High,Endocrine,Yes
Loss Of Appetite,Constant Or Intermittent (Variant 858)?,Pattern,Constant/Intermittent,Low,Msk,No
Loss Of Appetite,Does It Affect Daily Activities (Variant 859)?,Impact,Yes/No,Medium,Dermatology,Yes
Loss Of Appetite,Any Emergency Warning Signs (Variant 860)?,Emergency Flag,Yes/No,High,Emergency,No
Weakness,Since How Many Days (Variant 861)?,Duration,Numeric,Low,General,Yes
Weakness,"Mild, Moderate Or Severe (Variant 862)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Weakness,How Frequently Does It Occur (Variant 863)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Weakness,When Did It Start Worsening (Variant 864)?,Progression,Numeric,Low,Neurology,No
Weakness,Any Associated Symptoms Present (Variant 865)?,Associated Symptom,Yes/No,Medium,Gi,Yes
Weakness,Triggered By Activity (Variant 866)?,Trigger,Yes/No,High,Endocrine,No
Weakness,Localized Or Widespread (Variant 867)?,Location,Localized/Diffuse,Low,Msk,Yes
Weakness,Constant Or Intermittent (Variant 868)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Weakness,Does It Affect Daily Activities (Variant 869)?,Impact,Yes/No,High,Emergency,Yes
Weakness,Any Emergency Warning Signs (Variant 870)?,Emergency Flag,Yes/No,Low,General,No
Confusion,Since How Many Days (Variant 871)?,Duration,Numeric,Medium,Respiratory,Yes
Confusion,"Mild, Moderate Or Severe (Variant 872)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Confusion,How Frequently Does It Occur (Variant 873)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Confusion,When Did It Start Worsening (Variant 874)?,Progression,Numeric,Medium,Gi,No
Confusion,Any Associated Symptoms Present (Variant 875)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Confusion,Triggered By Activity (Variant 876)?,Trigger,Yes/No,Low,Msk,No
Confusion,Localized Or Widespread (Variant 877)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Confusion,Constant Or Intermittent (Variant 878)?,Pattern,Constant/Intermittent,High,Emergency,No
Confusion,Does It Affect Daily Activities (Variant 879)?,Impact,Yes/No,Low,General,Yes
Confusion,Any Emergency Warning Signs (Variant 880)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Memory Loss,Since How Many Days (Variant 881)?,Duration,Numeric,High,Cardiac,Yes
Memory Loss,"Mild, Moderate Or Severe (Variant 882)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Memory Loss,How Frequently Does It Occur (Variant 883)?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Memory Loss,When Did It Start Worsening (Variant 884)?,Progression,Numeric,High,Endocrine,No
Memory Loss,Any Associated Symptoms Present (Variant 885)?,Associated Symptom,Yes/No,Low,Msk,Yes
Memory Loss,Triggered By Activity (Variant 886)?,Trigger,Yes/No,Medium,Dermatology,No
Memory Loss,Localized Or Widespread (Variant 887)?,Location,Localized/Diffuse,High,Emergency,Yes
Memory Loss,Constant Or Intermittent (Variant 888)?,Pattern,Constant/Intermittent,Low,General,No
Memory Loss,Does It Affect Daily Activities (Variant 889)?,Impact,Yes/No,Medium,Respiratory,Yes
Memory Loss,Any Emergency Warning Signs (Variant 890)?,Emergency Flag,Yes/No,High,Cardiac,No
Seizure,Since How Many Days (Variant 891)?,Duration,Numeric,Low,Neurology,Yes
Seizure,"Mild, Moderate Or Severe (Variant 892)?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Seizure,How Frequently Does It Occur (Variant 893)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Seizure,When Did It Start Worsening (Variant 894)?,Progression,Numeric,Low,Msk,No
Seizure,Any Associated Symptoms Present (Variant 895)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Seizure,Triggered By Activity (Variant 896)?,Trigger,Yes/No,High,Emergency,No
Seizure,Localized Or Widespread (Variant 897)?,Location,Localized/Diffuse,Low,General,Yes
Seizure,Constant Or Intermittent (Variant 898)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Seizure,Does It Affect Daily Activities (Variant 899)?,Impact,Yes/No,High,Cardiac,Yes
Seizure,Any Emergency Warning Signs (Variant 900)?,Emergency Flag,Yes/No,Low,Neurology,No
Numbness,Since How Many Days (Variant 901)?,Duration,Numeric,Medium,Gi,Yes
Numbness,"Mild, Moderate Or Severe (Variant 902)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Numbness,How Frequently Does It Occur (Variant 903)?,Frequency,Occasional/Frequent,Low,Msk,Yes
Numbness,When Did It Start Worsening (Variant 904)?,Progression,Numeric,Medium,Dermatology,No
Numbness,Any Associated Symptoms Present (Variant 905)?,Associated Symptom,Yes/No,High,Emergency,Yes
Numbness,Triggered By Activity (Variant 906)?,Trigger,Yes/No,Low,General,No
Numbness,Localized Or Widespread (Variant 907)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Numbness,Constant Or Intermittent (Variant 908)?,Pattern,Constant/Intermittent,High,Cardiac,No
Numbness,Does It Affect Daily Activities (Variant 909)?,Impact,Yes/No,Low,Neurology,Yes
Numbness,Any Emergency Warning Signs (Variant 910)?,Emergency Flag,Yes/No,Medium,Gi,No
Tingling,Since How Many Days (Variant 911)?,Duration,Numeric,High,Endocrine,Yes
Tingling,"Mild, Moderate Or Severe (Variant 912)?",Severity,Mild/Moderate/Severe,Low,Msk,No
Tingling,How Frequently Does It Occur (Variant 913)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Tingling,When Did It Start Worsening (Variant 914)?,Progression,Numeric,High,Emergency,No
Tingling,Any Associated Symptoms Present (Variant 915)?,Associated Symptom,Yes/No,Low,General,Yes
Tingling,Triggered By Activity (Variant 916)?,Trigger,Yes/No,Medium,Respiratory,No
Tingling,Localized Or Widespread (Variant 917)?,Location,Localized/Diffuse,High,Cardiac,Yes
Tingling,Constant Or Intermittent (Variant 918)?,Pattern,Constant/Intermittent,Low,Neurology,No
Tingling,Does It Affect Daily Activities (Variant 919)?,Impact,Yes/No,Medium,Gi,Yes
Tingling,Any Emergency Warning Signs (Variant 920)?,Emergency Flag,Yes/No,High,Endocrine,No
Tremor,Since How Many Days (Variant 921)?,Duration,Numeric,Low,Msk,Yes
Tremor,"Mild, Moderate Or Severe (Variant 922)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Tremor,How Frequently Does It Occur (Variant 923)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Tremor,When Did It Start Worsening (Variant 924)?,Progression,Numeric,Low,General,No
Tremor,Any Associated Symptoms Present (Variant 925)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Tremor,Triggered By Activity (Variant 926)?,Trigger,Yes/No,High,Cardiac,No
Tremor,Localized Or Widespread (Variant 927)?,Location,Localized/Diffuse,Low,Neurology,Yes
