symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Excess Thirst,Since How Many Days (Variant 961)?,1,3,2,8,1
Excess Thirst,"Mild, Moderate Or Severe (Variant 962)?",8,2,3,0,0
Excess Thirst,How Frequently Does It Occur (Variant 963)?,3,4,1,7,1
Excess Thirst,When Did It Start Worsening (Variant 964)?,7,3,2,5,0
Excess Thirst,Any Associated Symptoms Present (Variant 965)?,0,5,3,3,1
Excess Thirst,Triggered By Activity (Variant 966)?,9,5,1,6,0
Excess Thirst,Localized Or Widespread (Variant 967)?,5,1,2,1,1
Excess Thirst,Constant Or Intermittent (Variant 968)?,6,0,3,2,0
Excess Thirst,Does It Affect Daily Activities (Variant 969)?,4,5,1,4,1
Excess Thirst,Any Emergency Warning Signs (Variant 970)?,2,5,2,8,0
Heat Intolerance,Since How Many Days (Variant 971)?,1,3,3,0,1
Heat Intolerance,"Mild, Moderate Or Severe (Variant 972)?",8,2,1,7,0
Heat Intolerance,How Frequently Does It Occur (Variant 973)?,3,4,2,5,1
Heat Intolerance,When Did It Start Worsening (Variant 974)?,7,3,3,3,0
Heat Intolerance,Any Associated Symptoms Present (Variant 975)?,0,5,1,6,1
Heat Intolerance,Triggered By Activity (Variant 976)?,9,5,2,1,0
Heat Intolerance,Localized Or Widespread (Variant 977)?,5,1,3,2,1
Heat Intolerance,Constant Or Intermittent (Variant 978)?,6,0,1,4,0
Heat Intolerance,Does It Affect Daily Activities (Variant 979)?,4,5,2,8,1
Heat Intolerance,Any Emergency Warning Signs (Variant 980)?,2,5,3,0,0
Cold Intolerance,Since How Many Days (Variant 981)?,1,3,1,7,1
Cold Intolerance,"Mild, Moderate Or Severe (Variant 982)?",8,2,2,5,0
Cold Intolerance,How Frequently Does It Occur (Variant 983)?,3,4,3,3,1
Cold Intolerance,When Did It Start Worsening (Variant 984)?,7,3,1,6,0
Cold Intolerance,Any Associated Symptoms Present (Variant 985)?,0,5,2,1,1
Cold Intolerance,Triggered By Activity (Variant 986)?,9,5,3,2,0
Cold Intolerance,Localized Or Widespread (Variant 987)?,5,1,1,4,1
Cold Intolerance,Constant Or Intermittent (Variant 988)?,6,0,2,8,0
Cold Intolerance,Does It Affect Daily Activities (Variant 989)?,4,5,3,0,1
Cold Intolerance,Any Emergency Warning Signs (Variant 990)?,2,5,1,7,0
Rash,Since How Many Days (Variant 991)?,1,3,2,5,1
Rash,"Mild, Moderate Or Severe (Variant 992)?",8,2,3,3,0
Rash,How Frequently Does It Occur (Variant 993)?,3,4,1,6,1
Rash,When Did It Start Worsening (Variant 994)?,7,3,2,1,0
Rash,Any Associated Symptoms Present (Variant 995)?,0,5,3,2,1
Rash,Triggered By Activity (Variant 996)?,9,5,1,4,0
Rash,Localized Or Widespread (Variant 997)?,5,1,2,8,1
Rash,Constant Or Intermittent (Variant 998)?,6,0,3,0,0
Rash,Does It Affect Daily Activities (Variant 999)?,4,5,1,7,1
Rash,Any Emergency Warning Signs (Variant 1000)?,2,5,2,5,0
Itching,Since How Many Days (Variant 1001)?,1,3,3,3,1
Itching,"Mild, Moderate Or Severe (Variant 1002)?",8,2,1,6,0
Itching,How Frequently Does It Occur (Variant 1003)?,3,4,2,1,1
Itching,When Did It Start Worsening (Variant 1004)?,7,3,3,2,0
Itching,Any Associated Symptoms Present (Variant 1005)?,0,5,1,4,1
Itching,Triggered By Activity (Variant 1006)?,9,5,2,8,0
Itching,Localized Or Widespread (Variant 1007)?,5,1,3,0,1
Itching,Constant Or Intermittent (Variant 1008)?,6,0,1,7,0
Itching,Does It Affect Daily Activities (Variant 1009)?,4,5,2,5,1
Itching,Any Emergency Warning Signs (Variant 1010)?,2,5,3,3,0
Skin Lesions,Since How Many Days (Variant 1011)?,1,3,1,6,1
Skin Lesions,"Mild, Moderate Or Severe (Variant 1012)?",8,2,2,1,0
Skin Lesions,How Frequently Does It Occur (Variant 1013)?,3,4,3,2,1
Skin Lesions,When Did It Start Worsening (Variant 1014)?,7,3,1,4,0
Skin Lesions,Any Associated Symptoms Present (Variant 1015)?,0,5,2,8,1
Skin Lesions,Triggered By Activity (Variant 1016)?,9,5,3,0,0
Skin Lesions,Localized Or Widespread (Variant 1017)?,5,1,1,7,1
Skin Lesions,Constant Or Intermittent (Variant 1018)?,6,0,2,5,0
Skin Lesions,Does It Affect Daily Activities (Variant 1019)?,4,5,3,3,1
Skin Lesions,Any Emergency Warning Signs (Variant 1020)?,2,5,1,6,0
Hair Loss,Since How Many Days (Variant 1021)?,1,3,2,1,1
Hair Loss,"Mild, Moderate Or Severe (Variant 1022)?",8,2,3,2,0
Hair Loss,How Frequently Does It Occur (Variant 1023)?,3,4,1,4,1
Hair Loss,When Did It Start Worsening (Variant 1024)?,7,3,2,8,0
Hair Loss,Any Associated Symptoms Present (Variant 1025)?,0,5,3,0,1
Hair Loss,Triggered By Activity (Variant 1026)?,9,5,1,7,0
Hair Loss,Localized Or Widespread (Variant 1027)?,5,1,2,5,1
Hair Loss,Constant Or Intermittent (Variant 1028)?,6,0,3,3,0
Hair Loss,Does It Affect Daily Activities (Variant 1029)?,4,5,1,6,1
Hair Loss,Any Emergency Warning Signs (Variant 1030)?,2,5,2,1,0
Insomnia,Since How Many Days (Variant 1031)?,1,3,3,2,1
Insomnia,"Mild, Moderate Or Severe (Variant 1032)?",8,2,1,4,0
Insomnia,How Frequently Does It Occur (Variant 1033)?,3,4,2,8,1
Insomnia,When Did It Start Worsening (Variant 1034)?,7,3,3,0,0
Insomnia,Any Associated Symptoms Present (Variant 1035)?,0,5,1,7,1
Insomnia,Triggered By Activity (Variant 1036)?,9,5,2,5,0
Insomnia,Localized Or Widespread (Variant 1037)?,5,1,3,3,1
Insomnia,Constant Or Intermittent (Variant 1038)?,6,0,1,6,0
Insomnia,Does It Affect Daily Activities (Variant 1039)?,4,5,2,1,1
Insomnia,Any Emergency Warning Signs (Variant 1040)?,2,5,3,2,0
Anxiety,Since How Many Days (Variant 1041)?,1,3,1,4,1
Anxiety,"Mild, Moderate Or Severe (Variant 1042)?",8,2,2,8,0
Anxiety,How Frequently Does It Occur (Variant 1043)?,3,4,3,0,1
Anxiety,When Did It Start Worsening (Variant 1044)?,7,3,1,7,0
Anxiety,Any Associated Symptoms Present (Variant 1045)?,0,5,2,5,1
Anxiety,Triggered By Activity (Variant 1046)?,9,5,3,3,0
Anxiety,Localized Or Widespread (Variant 1047)?,5,1,1,6,1
Anxiety,Constant Or Intermittent (Variant 1048)?,6,0,2,1,0
Anxiety,Does It Affect Daily Activities (Variant 1049)?,4,5,3,2,1
Anxiety,Any Emergency Warning Signs (Variant 1050)?,2,5,1,4,0
Depressed Mood,Since How Many Days (Variant 1051)?,1,3,2,8,1
Depressed Mood,"Mild, Moderate Or Severe (Variant 1052)?",8,2,3,0,0
Depressed Mood,How Frequently Does It Occur (Variant 1053)?,3,4,1,7,1
Depressed Mood,When Did It Start Worsening (Variant 1054)?,7,3,2,5,0
Depressed Mood,Any Associated Symptoms Present (Variant 1055)?,0,5,3,3,1
Depressed Mood,Triggered By Activity (Variant 1056)?,9,5,1,6,0
Depressed Mood,Localized Or Widespread (Variant 1057)?,5,1,2,1,1
Depressed Mood,Constant Or Intermittent (Variant 1058)?,6,0,3,2,0
Depressed Mood,Does It Affect Daily Activities (Variant 1059)?,4,5,1,4,1
Depressed Mood,Any Emergency Warning Signs (Variant 1060)?,2,5,2,8,0
Irritability,Since How Many Days (Variant 1061)?,1,3,3,0,1
Irritability,"Mild, Moderate Or Severe (Variant 1062)?",8,2,1,7,0
Irritability,How Frequently Does It Occur (Variant 1063)?,3,4,2,5,1
Irritability,When Did It Start Worsening (Variant 1064)?,7,3,3,3,0
Irritability,Any Associated Symptoms Present (Variant 1065)?,0,5,1,6,1
Irritability,Triggered By Activity (Variant 1066)?,9,5,2,1,0
Irritability,Localized Or Widespread (Variant 1067)?,5,1,3,2,1
Irritability,Constant Or Intermittent (Variant 1068)?,6,0,1,4,0
Irritability,Does It Affect Daily Activities (Variant 1069)?,4,5,2,8,1
Irritability,Any Emergency Warning Signs (Variant 1070)?,2,5,3,0,0
Ear Pain,Since How Many Days (Variant 1071)?,1,3,1,7,1
Ear Pain,"Mild, Moderate Or Severe (Variant 1072)?",8,2,2,5,0
Ear Pain,How Frequently Does It Occur (Variant 1073)?,3,4,3,3,1
Ear Pain,When Did It Start Worsening (Variant 1074)?,7,3,1,6,0
Ear Pain,Any Associated Symptoms Present (Variant 1075)?,0,5,2,1,1
Ear Pain,Triggered By Activity (Variant 1076)?,9,5,3,2,0
Ear Pain,Localized Or Widespread (Variant 1077)?,5,1,1,4,1
Ear Pain,Constant Or Intermittent (Variant 1078)?,6,0,2,8,0
Ear Pain,Does It Affect Daily Activities (Variant 1079)?,4,5,3,0,1
Ear Pain,Any Emergency Warning Signs (Variant 1080)?,2,5,1,7,0
Hearing Loss,Since How Many Days (Variant 1081)?,1,3,2,5,1
Hearing Loss,"Mild, Moderate Or Severe (Variant 1082)?",8,2,3,3,0
Hearing Loss,How Frequently Does It Occur (Variant 1083)?,3,4,1,6,1
Hearing Loss,When Did It Start Worsening (Variant 1084)?,7,3,2,1,0
Hearing Loss,Any Associated Symptoms Present (Variant 1085)?,0,5,3,2,1
Hearing Loss,Triggered By Activity (Variant 1086)?,9,5,1,4,0
Hearing Loss,Localized Or Widespread (Variant 1087)?,5,1,2,8,1
Hearing Loss,Constant Or Intermittent (Variant 1088)?,6,0,3,0,0
Hearing Loss,Does It Affect Daily Activities (Variant 1089)?,4,5,1,7,1
Hearing Loss,Any Emergency Warning Signs (Variant 1090)?,2,5,2,5,0
Neck Pain,Since How Many Days (Variant 1091)?,1,3,3,3,1
Neck Pain,"Mild, Moderate Or Severe (Variant 1092)?",8,2,1,6,0
Neck Pain,How Frequently Does It Occur (Variant 1093)?,3,4,2,1,1
Neck Pain,When Did It Start Worsening (Variant 1094)?,7,3,3,2,0
Neck Pain,Any Associated Symptoms Present (Variant 1095)?,0,5,1,4,1
Neck Pain,Triggered By Activity (Variant 1096)?,9,5,2,8,0
Neck Pain,Localized Or Widespread (Variant 1097)?,5,1,3,0,1
Neck Pain,Constant Or Intermittent (Variant 1098)?,6,0,1,7,0
Neck Pain,Does It Affect Daily Activities (Variant 1099)?,4,5,2,5,1
Neck Pain,Any Emergency Warning Signs (Variant 1100)?,2,5,3,3,0
Pelvic Pain,Since How Many Days (Variant 1101)?,1,3,1,6,1
Pelvic Pain,"Mild, Moderate Or Severe (Variant 1102)?",8,2,2,1,0
Pelvic Pain,How Frequently Does It Occur (Variant 1103)?,3,4,3,2,1
Pelvic Pain,When Did It Start Worsening (Variant 1104)?,7,3,1,4,0
Pelvic Pain,Any Associated Symptoms Present (Variant 1105)?,0,5,2,8,1
Pelvic Pain,Triggered By Activity (Variant 1106)?,9,5,3,0,0
Pelvic Pain,Localized Or Widespread (Variant 1107)?,5,1,1,7,1
Pelvic Pain,Constant Or Intermittent (Variant 1108)?,6,0,2,5,0
Pelvic Pain,Does It Affect Daily Activities (Variant 1109)?,4,5,3,3,1
Pelvic Pain,Any Emergency Warning Signs (Variant 1110)?,2,5,1,6,0
Menstrual Irregularity,Since How Many Days (Variant 1111)?,1,3,2,1,1
Menstrual Irregularity,"Mild, Moderate Or Severe (Variant 1112)?",8,2,3,2,0
Menstrual Irregularity,How Frequently Does It Occur (Variant 1113)?,3,4,1,4,1
Menstrual Irregularity,When Did It Start Worsening (Variant 1114)?,7,3,2,8,0
Menstrual Irregularity,Any Associated Symptoms Present (Variant 1115)?,0,5,3,0,1
Menstrual Irregularity,Triggered By Activity (Variant 1116)?,9,5,1,7,0
Menstrual Irregularity,Localized Or Widespread (Variant 1117)?,5,1,2,5,1
Menstrual Irregularity,Constant Or Intermittent (Variant 1118)?,6,0,3,3,0
Menstrual Irregularity,Does It Affect Daily Activities (Variant 1119)?,4,5,1,6,1
Menstrual Irregularity,Any Emergency Warning Signs (Variant 1120)?,2,5,2,1,0
Burning Urination,Since How Many Days (Variant 1121)?,1,3,3,2,1
Burning Urination,"Mild, Moderate Or Severe (Variant 1122)?",8,2,1,4,0
Burning Urination,How Frequently Does It Occur (Variant 1123)?,3,4,2,8,1
Burning Urination,When Did It Start Worsening (Variant 1124)?,7,3,3,0,0
Burning Urination,Any Associated Symptoms Present (Variant 1125)?,0,5,1,7,1
Burning Urination,Triggered By Activity (Variant 1126)?,9,5,2,5,0
Burning Urination,Localized Or Widespread (Variant 1127)?,5,1,3,3,1
Burning Urination,Constant Or Intermittent (Variant 1128)?,6,0,1,6,0
Burning Urination,Does It Affect Daily Activities (Variant 1129)?,4,5,2,1,1
Burning Urination,Any Emergency Warning Signs (Variant 1130)?,2,5,3,2,0
Blood In Urine,Since How Many Days (Variant 1131)?,1,3,1,4,1
Blood In Urine,"Mild, Moderate Or Severe (Variant 1132)?",8,2,2,8,0
Blood In Urine,How Frequently Does It Occur (Variant 1133)?,3,4,3,0,1
Blood In Urine,When Did It Start Worsening (Variant 1134)?,7,3,1,7,0
Blood In Urine,Any Associated Symptoms Present (Variant 1135)?,0,5,2,5,1
Blood In Urine,Triggered By Activity (Variant 1136)?,9,5,3,3,0
Blood In Urine,Localized Or Widespread (Variant 1137)?,5,1,1,6,1
Blood In Urine,Constant Or Intermittent (Variant 1138)?,6,0,2,1,0
Blood In Urine,Does It Affect Daily Activities (Variant 1139)?,4,5,3,2,1
Blood In Urine,Any Emergency Warning Signs (Variant 1140)?,2,5,1,4,0
Swollen Lymph Nodes,Since How Many Days (Variant 1141)?,1,3,2,8,1
Swollen Lymph Nodes,"Mild, Moderate Or Severe (Variant 1142)?",8,2,3,0,0
Swollen Lymph Nodes,How Frequently Does It Occur (Variant 1143)?,3,4,1,7,1
Swollen Lymph Nodes,When Did It Start Worsening (Variant 1144)?,7,3,2,5,0
Swollen Lymph Nodes,Any Associated Symptoms Present (Variant 1145)?,0,5,3,3,1
Swollen Lymph Nodes,Triggered By Activity (Variant 1146)?,9,5,1,6,0
Swollen Lymph Nodes,Localized Or Widespread (Variant 1147)?,5,1,2,1,1
Swollen Lymph Nodes,Constant Or Intermittent (Variant 1148)?,6,0,3,2,0
Swollen Lymph Nodes,Does It Affect Daily Activities (Variant 1149)?,4,5,1,4,1
Swollen Lymph Nodes,Any Emergency Warning Signs (Variant 1150)?,2,5,2,8,0
Dry Mouth,Since How Many Days (Variant 1151)?,1,3,3,0,1
Dry Mouth,"Mild, Moderate Or Severe (Variant 1152)?",8,2,1,7,0
Dry Mouth,How Frequently Does It Occur (Variant 1153)?,3,4,2,5,1
Dry Mouth,When Did It Start Worsening (Variant 1154)?,7,3,3,3,0
Dry Mouth,Any Associated Symptoms Present (Variant 1155)?,0,5,1,6,1
Dry Mouth,Triggered By Activity (Variant 1156)?,9,5,2,1,0
Dry Mouth,Localized Or Widespread (Variant 1157)?,5,1,3,2,1
Dry Mouth,Constant Or Intermittent (Variant 1158)?,6,0,1,4,0
Dry Mouth,Does It Affect Daily Activities (Variant 1159)?,4,5,2,8,1
Dry Mouth,Any Emergency Warning Signs (Variant 1160)?,2,5,3,0,0
Mouth Ulcers,Since How Many Days (Variant 1161)?,1,3,1,7,1
Mouth Ulcers,"Mild, Moderate Or Severe (Variant 1162)?",8,2,2,5,0
Mouth Ulcers,How Frequently Does It Occur (Variant 1163)?,3,4,3,3,1
Mouth Ulcers,When Did It Start Worsening (Variant 1164)?,7,3,1,6,0
Mouth Ulcers,Any Associated Symptoms Present (Variant 1165)?,0,5,2,1,1
Mouth Ulcers,Triggered By Activity (Variant 1166)?,9,5,3,2,0
Mouth Ulcers,Localized Or Widespread (Variant 1167)?,5,1,1,4,1
Mouth Ulcers,Constant Or Intermittent (Variant 1168)?,6,0,2,8,0
Mouth Ulcers,Does It Affect Daily Activities (Variant 1169)?,4,5,3,0,1
Mouth Ulcers,Any Emergency Warning Signs (Variant 1170)?,2,5,1,7,0
Difficulty Swallowing,Since How Many Days (Variant 1171)?,1,3,2,5,1
Difficulty Swallowing,"Mild, Moderate Or Severe (Variant 1172)?",8,2,3,3,0
Difficulty Swallowing,How Frequently Does It Occur (Variant 1173)?,3,4,1,6,1
Difficulty Swallowing,When Did It Start Worsening (Variant 1174)?,7,3,2,1,0
Difficulty Swallowing,Any Associated Symptoms Present (Variant 1175)?,0,5,3,2,1
Difficulty Swallowing,Triggered By Activity (Variant 1176)?,9,5,1,4,0
Difficulty Swallowing,Localized Or Widespread (Variant 1177)?,5,1,2,8,1
Difficulty Swallowing,Constant Or Intermittent (Variant 1178)?,6,0,3,0,0
Difficulty Swallowing,Does It Affect Daily Activities (Variant 1179)?,4,5,1,7,1
Difficulty Swallowing,Any Emergency Warning Signs (Variant 1180)?,2,5,2,5,0
Cyanosis,Since How Many Days (Variant 1181)?,1,3,3,3,1
Cyanosis,"Mild, Moderate Or Severe (Variant 1182)?",8,2,1,6,0
Cyanosis,How Frequently Does It Occur (Variant 1183)?,3,4,2,1,1
Cyanosis,When Did It Start Worsening (Variant 1184)?,7,3,3,2,0
Cyanosis,Any Associated Symptoms Present (Variant 1185)?,0,5,1,4,1
Cyanosis,Triggered By Activity (Variant 1186)?,9,5,2,8,0
Cyanosis,Localized Or Widespread (Variant 1187)?,5,1,3,0,1
Cyanosis,Constant Or Intermittent (Variant 1188)?,6,0,1,7,0
Cyanosis,Does It Affect Daily Activities (Variant 1189)?,4,5,2,5,1
Cyanosis,Any Emergency Warning Signs (Variant 1190)?,2,5,3,3,0
Severe Bleeding,Since How Many Days (Variant 1191)?,1,3,1,6,1
Severe Bleeding,"Mild, Moderate Or Severe (Variant 1192)?",8,2,2,1,0
Severe Bleeding,How Frequently Does It Occur (Variant 1193)?,3,4,3,2,1
Severe Bleeding,When Did It Start Worsening (Variant 1194)?,7,3,1,4,0
Severe Bleeding,Any Associated Symptoms Present (Variant 1195)?,0,5,2,8,1
Severe Bleeding,Triggered By Activity (Variant 1196)?,9,5,3,0,0
Severe Bleeding,Localized Or Widespread (Variant 1197)?,5,1,1,7,1
Severe Bleeding,Constant Or Intermittent (Variant 1198)?,6,0,2,5,0
Severe Bleeding,Does It Affect Daily Activities (Variant 1199)?,4,5,3,3,1
Severe Bleeding,Any Emergency Warning Signs (Variant 1200)?,2,5,1,6,0
Fever,Since How Many Days (Variant 1201)?,1,3,2,8,1
Fever,"Mild, Moderate Or Severe (Variant 1202)?",8,2,3,0,0
Fever,How Frequently Does It Occur (Variant 1203)?,3,4,1,7,1
Fever,When Did It Start Worsening (Variant 1204)?,7,3,2,5,0
Fever,Any Associated Symptoms Present (Variant 1205)?,0,5,3,3,1
Fever,Triggered By Activity (Variant 1206)?,9,5,1,6,0
Fever,Localized Or Widespread (Variant 1207)?,5,1,2,1,1
Fever,Constant Or Intermittent (Variant 1208)?,6,0,3,2,0
Fever,Does It Affect Daily Activities (Variant 1209)?,4,5,1,4,1
Fever,Any Emergency Warning Signs (Variant 1210)?,2,5,2,8,0
Cough,Since How Many Days (Variant 1211)?,1,3,3,0,1
Cough,"Mild, Moderate Or Severe (Variant 1212)?",8,2,1,7,0
Cough,How Frequently Does It Occur (Variant 1213)?,3,4,2,5,1
Cough,When Did It Start Worsening (Variant 1214)?,7,3,3,3,0
Cough,Any Associated Symptoms Present (Variant 1215)?,0,5,1,6,1
Cough,Triggered By Activity (Variant 1216)?,9,5,2,1,0
Cough,Localized Or Widespread (Variant 1217)?,5,1,3,2,1
Cough,Constant Or Intermittent (Variant 1218)?,6,0,1,4,0
Cough,Does It Affect Daily Activities (Variant 1219)?,4,5,2,8,1
Cough,Any Emergency Warning Signs (Variant 1220)?,2,5,3,0,0
Fatigue,Since How Many Days (Variant 1221)?,1,3,1,7,1
Fatigue,"Mild, Moderate Or Severe (Variant 1222)?",8,2,2,5,0
Fatigue,How Frequently Does It Occur (Variant 1223)?,3,4,3,3,1
Fatigue,When Did It Start Worsening (Variant 1224)?,7,3,1,6,0
Fatigue,Any Associated Symptoms Present (Variant 1225)?,0,5,2,1,1
Fatigue,Triggered By Activity (Variant 1226)?,9,5,3,2,0
Fatigue,Localized Or Widespread (Variant 1227)?,5,1,1,4,1
Fatigue,Constant Or Intermittent (Variant 1228)?,6,0,2,8,0
Fatigue,Does It Affect Daily Activities (Variant 1229)?,4,5,3,0,1
Fatigue,Any Emergency Warning Signs (Variant 1230)?,2,5,1,7,0
Breathlessness,Since How Many Days (Variant 1231)?,1,3,2,5,1
Breathlessness,"Mild, Moderate Or Severe (Variant 1232)?",8,2,3,3,0
Breathlessness,How Frequently Does It Occur (Variant 1233)?,3,4,1,6,1
Breathlessness,When Did It Start Worsening (Variant 1234)?,7,3,2,1,0
Breathlessness,Any Associated Symptoms Present (Variant 1235)?,0,5,3,2,1
Breathlessness,Triggered By Activity (Variant 1236)?,9,5,1,4,0
Breathlessness,Localized Or Widespread (Variant 1237)?,5,1,2,8,1
Breathlessness,Constant Or Intermittent (Variant 1238)?,6,0,3,0,0
Breathlessness,Does It Affect Daily Activities (Variant 1239)?,4,5,1,7,1
Breathlessness,Any Emergency Warning Signs (Variant 1240)?,2,5,2,5,0
Chest Pain,Since How Many Days (Variant 1241)?,1,3,3,3,1
Chest Pain,"Mild, Moderate Or Severe (Variant 1242)?",8,2,1,6,0
Chest Pain,How Frequently Does It Occur (Variant 1243)?,3,4,2,1,1
Chest Pain,When Did It Start Worsening (Variant 1244)?,7,3,3,2,0
Chest Pain,Any Associated Symptoms Present (Variant 1245)?,0,5,1,4,1
Chest Pain,Triggered By Activity (Variant 1246)?,9,5,2,8,0
Chest Pain,Localized Or Widespread (Variant 1247)?,5,1,3,0,1
Chest Pain,Constant Or Intermittent (Variant 1248)?,6,0,1,7,0
Chest Pain,Does It Affect Daily Activities (Variant 1249)?,4,5,2,5,1
Chest Pain,Any Emergency Warning Signs (Variant 1250)?,2,5,3,3,0
Headache,Since How Many Days (Variant 1251)?,1,3,1,6,1
Headache,"Mild, Moderate Or Severe (Variant 1252)?",8,2,2,1,0
Headache,How Frequently Does It Occur (Variant 1253)?,3,4,3,2,1
Headache,When Did It Start Worsening (Variant 1254)?,7,3,1,4,0
Headache,Any Associated Symptoms Present (Variant 1255)?,0,5,2,8,1
Headache,Triggered By Activity (Variant 1256)?,9,5,3,0,0
Headache,Localized Or Widespread (Variant 1257)?,5,1,1,7,1
Headache,Constant Or Intermittent (Variant 1258)?,6,0,2,5,0
Headache,Does It Affect Daily Activities (Variant 1259)?,4,5,3,3,1
Headache,Any Emergency Warning Signs (Variant 1260)?,2,5,1,6,0
Dizziness,Since How Many Days (Variant 1261)?,1,3,2,1,1
Dizziness,"Mild, Moderate Or Severe (Variant 1262)?",8,2,3,2,0
Dizziness,How Frequently Does It Occur (Variant 1263)?,3,4,1,4,1
Dizziness,When Did It Start Worsening (Variant 1264)?,7,3,2,8,0
Dizziness,Any Associated Symptoms Present (Variant 1265)?,0,5,3,0,1
Dizziness,Triggered By Activity (Variant 1266)?,9,5,1,7,0
Dizziness,Localized Or Widespread (Variant 1267)?,5,1,2,5,1
Dizziness,Constant Or Intermittent (Variant 1268)?,6,0,3,3,0
Dizziness,Does It Affect Daily Activities (Variant 1269)?,4,5,1,6,1
Dizziness,Any Emergency Warning Signs (Variant 1270)?,2,5,2,1,0
Nausea,Since How Many Days (Variant 1271)?,1,3,3,2,1
Nausea,"Mild, Moderate Or Severe (Variant 1272)?",8,2,1,4,0
Nausea,How Frequently Does It Occur (Variant 1273)?,3,4,2,8,1
Nausea,When Did It Start Worsening (Variant 1274)?,7,3,3,0,0
Nausea,Any Associated Symptoms Present (Variant 1275)?,0,5,1,7,1
Nausea,Triggered By Activity (Variant 1276)?,9,5,2,5,0
Nausea,Localized Or Widespread (Variant 1277)?,5,1,3,3,1
Nausea,Constant Or Intermittent (Variant 1278)?,6,0,1,6,0
Nausea,Does It Affect Daily Activities (Variant 1279)?,4,5,2,1,1
Nausea,Any Emergency Warning Signs (Variant 1280)?,2,5,3,2,0
Vomiting,Since How Many Days (Variant 1281)?,1,3,1,4,1
Vomiting,"Mild, Moderate Or Severe (Variant 1282)?",8,2,2,8,0
Vomiting,How Frequently Does It Occur (Variant 1283)?,3,4,3,0,1
Vomiting,When Did It Start Worsening (Variant 1284)?,7,3,1,7,0
Vomiting,Any Associated Symptoms Present (Variant 1285)?,0,5,2,5,1
Vomiting,Triggered By Activity (Variant 1286)?,9,5,3,3,0
Vomiting,Localized Or Widespread (Variant 1287)?,5,1,1,6,1
Vomiting,Constant Or Intermittent (Variant 1288)?,6,0,2,1,0
Vomiting,Does It Affect Daily Activities (Variant 1289)?,4,5,3,2,1
Vomiting,Any Emergency Warning Signs (Variant 1290)?,2,5,1,4,0
Diarrhea,Since How Many Days (Variant 1291)?,1,3,2,8,1
Diarrhea,"Mild, Moderate Or Severe (Variant 1292)?",8,2,3,0,0
Diarrhea,How Frequently Does It Occur (Variant 1293)?,3,4,1,7,1
Diarrhea,When Did It Start Worsening (Variant 1294)?,7,3,2,5,0
Diarrhea,Any Associated Symptoms Present (Variant 1295)?,0,5,3,3,1
Diarrhea,Triggered By Activity (Variant 1296)?,9,5,1,6,0
Diarrhea,Localized Or Widespread (Variant 1297)?,5,1,2,1,1
Diarrhea,Constant Or Intermittent (Variant 1298)?,6,0,3,2,0
Diarrhea,Does It Affect Daily Activities (Variant 1299)?,4,5,1,4,1
Diarrhea,Any Emergency Warning Signs (Variant 1300)?,2,5,2,8,0
Constipation,Since How Many Days (Variant 1301)?,1,3,3,0,1
Constipation,"Mild, Moderate Or Severe (Variant 1302)?",8,2,1,7,0
Constipation,How Frequently Does It Occur (Variant 1303)?,3,4,2,5,1
Constipation,When Did It Start Worsening (Variant 1304)?,7,3,3,3,0
Constipation,Any Associated Symptoms Present (Variant 1305)?,0,5,1,6,1
Constipation,Triggered By Activity (Variant 1306)?,9,5,2,1,0
Constipation,Localized Or Widespread (Variant 1307)?,5,1,3,2,1
Constipation,Constant Or Intermittent (Variant 1308)?,6,0,1,4,0
Constipation,Does It Affect Daily Activities (Variant 1309)?,4,5,2,8,1
Constipation,Any Emergency Warning Signs (Variant 1310)?,2,5,3,0,0
Abdominal Pain,Since How Many Days (Variant 1311)?,1,3,1,7,1
Abdominal Pain,"Mild, Moderate Or Severe (Variant 1312)?",8,2,2,5,0
Abdominal Pain,How Frequently Does It Occur (Variant 1313)?,3,4,3,3,1
Abdominal Pain,When Did It Start Worsening (Variant 1314)?,7,3,1,6,0
Abdominal Pain,Any Associated Symptoms Present (Variant 1315)?,0,5,2,1,1
Abdominal Pain,Triggered By Activity (Variant 1316)?,9,5,3,2,0
Abdominal Pain,Localized Or Widespread (Variant 1317)?,5,1,1,4,1
Abdominal Pain,Constant Or Intermittent (Variant 1318)?,6,0,2,8,0
Abdominal Pain,Does It Affect Daily Activities (Variant 1319)?,4,5,3,0,1
Abdominal Pain,Any Emergency Warning Signs (Variant 1320)?,2,5,1,7,0
Back Pain,Since How Many Days (Variant 1321)?,1,3,2,5,1
Back Pain,"Mild, Moderate Or Severe (Variant 1322)?",8,2,3,3,0
Back Pain,How Frequently Does It Occur (Variant 1323)?,3,4,1,6,1
Back Pain,When Did It Start Worsening (Variant 1324)?,7,3,2,1,0
Back Pain,Any Associated Symptoms Present (Variant 1325)?,0,5,3,2,1
Back Pain,Triggered By Activity (Variant 1326)?,9,5,1,4,0
Back Pain,Localized Or Widespread (Variant 1327)?,5,1,2,8,1
Back Pain,Constant Or Intermittent (Variant 1328)?,6,0,3,0,0
Back Pain,Does It Affect Daily Activities (Variant 1329)?,4,5,1,7,1
Back Pain,Any Emergency Warning Signs (Variant 1330)?,2,5,2,5,0
Joint Pain,Since How Many Days (Variant 1331)?,1,3,3,3,1
