Symptom,Duration,Interpretation,Recommended_Action,Temporal_Pattern,Severity_Flag
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Subacute progression,High
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Serious if Persistent,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Serious if Persistent,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Early stage pattern,Low
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Early stage pattern,High
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Subacute progression,Low
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Subacute progression,High
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Persistent warning sign,High
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Early stage pattern,Low
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Early stage pattern,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Early stage pattern,High
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Subacute progression,Low
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Subacute progression,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Subacute progression,High
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Persistent warning sign,Low
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Persistent warning sign,High
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Possible chronic evolution,Low
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Possible chronic evolution,High
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Acute onset requiring review,Low
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Basic lab screening suggested,Acute onset requiring review,High
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Early stage pattern,Low
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Early stage pattern,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Early stage pattern,High
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Subacute progression,High
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Acute Self-Limiting Pattern,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,1-3 days,Likely Viral,Home monitoring,Early stage pattern,Low
Fever,1-3 days,Likely Viral,Home monitoring,Early stage pattern,Moderate
Fever,1-3 days,Likely Viral,Home monitoring,Early stage pattern,High
Fever,1-3 days,Likely Viral,Home monitoring,Subacute progression,Low
Fever,1-3 days,Likely Viral,Home monitoring,Subacute progression,Moderate
Fever,1-3 days,Likely Viral,Home monitoring,Subacute progression,High
Fever,1-3 days,Likely Viral,Home monitoring,Persistent warning sign,Low
Fever,1-3 days,Likely Viral,Home monitoring,Persistent warning sign,Moderate
Fever,1-3 days,Likely Viral,Home monitoring,Persistent warning sign,High
Fever,1-3 days,Likely Viral,Home monitoring,Possible chronic evolution,Low
Fever,1-3 days,Likely Viral,Home monitoring,Possible chronic evolution,Moderate
Fever,1-3 days,Likely Viral,Home monitoring,Possible chronic evolution,High
Fever,1-3 days,Likely Viral,Home monitoring,Acute onset requiring review,Low
Fever,1-3 days,Likely Viral,Home monitoring,Acute onset requiring review,Moderate
Fever,1-3 days,Likely Viral,Home monitoring,Acute onset requiring review,High
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,High
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,1-3 days,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Early stage pattern,Low
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Early stage pattern,Moderate
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Early stage pattern,High
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Subacute progression,Low
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Subacute progression,Moderate
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Subacute progression,High
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Persistent warning sign,Low
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Persistent warning sign,High
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Possible chronic evolution,Low
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Possible chronic evolution,High
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Acute onset requiring review,Low
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,1-3 days,Likely Viral,Basic lab screening suggested,Acute onset requiring review,High
Fever,1-3 days,Likely Viral,Consider physician evaluation,Early stage pattern,Low
Fever,1-3 days,Likely Viral,Consider physician evaluation,Early stage pattern,Moderate
Fever,1-3 days,Likely Viral,Consider physician evaluation,Early stage pattern,High
Fever,1-3 days,Likely Viral,Consider physician evaluation,Subacute progression,Low
Fever,1-3 days,Likely Viral,Consider physician evaluation,Subacute progression,Moderate
Fever,1-3 days,Likely Viral,Consider physician evaluation,Subacute progression,High
Fever,1-3 days,Likely Viral,Consider physician evaluation,Persistent warning sign,Low
Fever,1-3 days,Likely Viral,Consider physician evaluation,Persistent warning sign,Moderate
Fever,1-3 days,Likely Viral,Consider physician evaluation,Persistent warning sign,High
Fever,1-3 days,Likely Viral,Consider physician evaluation,Possible chronic evolution,Low
Fever,1-3 days,Likely Viral,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,1-3 days,Likely Viral,Consider physician evaluation,Possible chronic evolution,High
Fever,1-3 days,Likely Viral,Consider physician evaluation,Acute onset requiring review,Low
Fever,1-3 days,Likely Viral,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,1-3 days,Likely Viral,Consider physician evaluation,Acute onset requiring review,High
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Early stage pattern,Low
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Early stage pattern,High
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Subacute progression,Low
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Subacute progression,High
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,High
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,1-3 days,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,1-3 days,Monitor Progression,Home monitoring,Early stage pattern,Low
Fever,1-3 days,Monitor Progression,Home monitoring,Early stage pattern,Moderate
Fever,1-3 days,Monitor Progression,Home monitoring,Early stage pattern,High
Fever,1-3 days,Monitor Progression,Home monitoring,Subacute progression,Low
Fever,1-3 days,Monitor Progression,Home monitoring,Subacute progression,Moderate
Fever,1-3 days,Monitor Progression,Home monitoring,Subacute progression,High
Fever,1-3 days,Monitor Progression,Home monitoring,Persistent warning sign,Low
Fever,1-3 days,Monitor Progression,Home monitoring,Persistent warning sign,Moderate
Fever,1-3 days,Monitor Progression,Home monitoring,Persistent warning sign,High
Fever,1-3 days,Monitor Progression,Home monitoring,Possible chronic evolution,Low
Fever,1-3 days,Monitor Progression,Home monitoring,Possible chronic evolution,Moderate
Fever,1-3 days,Monitor Progression,Home monitoring,Possible chronic evolution,High
Fever,1-3 days,Monitor Progression,Home monitoring,Acute onset requiring review,Low
Fever,1-3 days,Monitor Progression,Home monitoring,Acute onset requiring review,Moderate
Fever,1-3 days,Monitor Progression,Home monitoring,Acute onset requiring review,High
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,High
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,1-3 days,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Early stage pattern,Low
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Early stage pattern,Moderate
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Early stage pattern,High
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Subacute progression,Low
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Subacute progression,Moderate
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Subacute progression,High
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Persistent warning sign,Low
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Persistent warning sign,High
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,Low
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,High
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,Low
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,1-3 days,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,High
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Early stage pattern,Low
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Early stage pattern,Moderate
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Early stage pattern,High
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Subacute progression,Low
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Subacute progression,Moderate
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Subacute progression,High
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Persistent warning sign,Low
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Persistent warning sign,Moderate
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Persistent warning sign,High
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Possible chronic evolution,Low
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Possible chronic evolution,High
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Acute onset requiring review,Low
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,1-3 days,Monitor Progression,Consider physician evaluation,Acute onset requiring review,High
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,Low
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,High
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Subacute progression,Low
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Subacute progression,High
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,High
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,1-3 days,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Early stage pattern,Low
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Early stage pattern,Moderate
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Early stage pattern,High
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Subacute progression,Low
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Subacute progression,Moderate
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Subacute progression,High
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Persistent warning sign,Low
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Persistent warning sign,Moderate
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Persistent warning sign,High
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,Low
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,Moderate
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,High
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,Low
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,Moderate
Fever,1-3 days,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,High
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,High
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,1-3 days,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,Low
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,Moderate
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,High
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,Low
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,Moderate
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,High
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,Low
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,High
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,Low
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,High
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,Low
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,1-3 days,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,High
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,Low
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,Moderate
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,High
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,Low
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,Moderate
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,High
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,Low
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,Moderate
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,High
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,Low
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,High
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,Low
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,1-3 days,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,High
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,Low
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,High
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,Low
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,High
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,1-3 days,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,High
