disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Migraine, Chicken Pox",1,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Acidity +  Headache,"Migraine, Paralysis (Brain Hemorrhage), Common Cold",0,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,26,34,20,Muscle Wasting +  Patches In Throat,"Aids, Dimorphic Hemmorhoids(Piles), Dengue",6,7
Acne,25,31,3,35,12,20,Continuous Sneezing +  Chills,"Allergy, Typhoid, Varicose Veins",1,7
Acne,25,31,3,35,12,20,Chills +  Vomiting,"Typhoid, Acne, Psoriasis",4,7
Acne,23,3,40,19,12,20,High Fever +  Blister,"Impetigo, Cervical Spondylosis, Dimorphic Hemmorhoids(Piles)",5,7
Acne,25,3,40,19,12,20,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Paralysis (Brain Hemorrhage), Allergy",0,7
Acne,25,31,40,19,12,20,Skin Rash +  Blister,"Impetigo, Hepatitis E",0,7
Acne,25,31,3,19,12,20,Continuous Sneezing +  Chills,"Common Cold, Drug Reaction, Aids",0,7
Acne,25,31,3,35,12,20,Skin Rash +  Fatigue,"Chicken Pox, Alcoholic Hepatitis, Migraine",6,7
Acne,25,31,3,19,12,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Alcoholic Hepatitis",1,7
Acne,25,31,40,19,12,20,Vomiting +  Breathlessness,"Heart Attack, Chronic Cholestasis, Tuberculosis",7,7
Acne,25,3,40,19,12,20,Fatigue +  Cramps,"Varicose Veins, Fungal Infection, Diabetes",3,7
Urinary Tract Infection,4,4,22,7,12,20,Itching +  Skin Rash,"Chicken Pox, Hypothyroidism, Aids",4,7
Urinary Tract Infection,4,4,22,7,12,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Chronic Cholestasis, Hepatitis E",5,7
Urinary Tract Infection,2,16,13,19,12,20,Joint Pain +  Vomiting,"Hepatitis E, Hepatitis A, Hypertension",1,7
Urinary Tract Infection,4,16,13,19,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Dengue, Hepatitis C",1,7
Urinary Tract Infection,4,4,13,19,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Common Cold, Aids",4,7
Urinary Tract Infection,4,4,22,19,12,20,Muscle Weakness +  Swelling Joints,"Arthritis, Impetigo, (Vertigo) Paroymsal  Positional Vertigo",7,7
Urinary Tract Infection,4,4,22,7,12,20,Itching +  Fatigue,"Hepatitis B, Varicose Veins, Hypoglycemia",8,7
Urinary Tract Infection,4,4,13,19,12,20,Yellowish Skin +  Nausea,"Hepatitis C, (Vertigo) Paroymsal  Positional Vertigo, Chicken Pox",0,7
Urinary Tract Infection,2,16,13,19,12,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Acne, Hepatitis A",1,7
Urinary Tract Infection,4,4,13,19,12,20,Mood Swings +  Weight Loss,"Hyperthyroidism, Impetigo, Pneumonia",7,7
Psoriasis,25,20,42,36,27,15,Pain During Bowel Movements +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Alcoholic Hepatitis, Aids",3,7
Psoriasis,25,20,42,36,27,15,Skin Rash +  Chills,"Dengue, Hypertension , (Vertigo) Paroymsal  Positional Vertigo",0,7
Psoriasis,16,34,41,37,15,20,Itching +  Yellowish Skin,"Chronic Cholestasis, Paralysis (Brain Hemorrhage)",4,7
Psoriasis,25,34,41,37,15,20,Stomach Pain +  Acidity,"Gerd, Urinary Tract Infection, Typhoid",1,7
Psoriasis,25,20,41,37,15,20,Fatigue +  Weight Gain,"Hypothyroidism, Bronchial Asthma",0,7
Psoriasis,25,20,42,37,15,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Acne, Hepatitis E",6,7
Psoriasis,25,20,42,36,15,20,Itching +  Fatigue,"Chicken Pox, Hepatitis A, Psoriasis",7,7
Psoriasis,25,20,42,36,27,20,Stomach Pain +  Acidity,"Gerd, (Vertigo) Paroymsal  Positional Vertigo, Hypoglycemia",9,7
Psoriasis,25,20,42,36,27,15,Joint Pain +  Vomiting,"Hepatitis E, Cervical Spondylosis, Aids",8,7
Psoriasis,25,20,42,36,27,15,Fatigue +  Cough,"Bronchial Asthma, Hepatitis A, (Vertigo) Paroymsal  Positional Vertigo",5,7
Impetigo,25,18,4,33,35,20,Vomiting +  Dehydration,"Gastroenteritis, Malaria, Urinary Tract Infection",4,7
Impetigo,25,18,4,33,35,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Hepatitis B, Jaundice",4,7
Impetigo,13,5,38,47,12,20,Chills +  Vomiting,"Malaria, Hepatitis E, Hepatitis D",0,7
Impetigo,25,5,38,47,12,20,Muscle Weakness +  Stiff Neck,"Arthritis, Hypothyroidism, Alcoholic Hepatitis",6,7
Impetigo,25,5,38,47,12,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Cervical Spondylosis, Varicose Veins",6,7
Impetigo,25,18,38,47,12,20,Itching +  Fatigue,"Hepatitis B, Arthritis, Peptic Ulcer Diseae",3,7
Impetigo,25,18,4,47,12,20,Muscle Weakness +  Stiff Neck,"Arthritis, Malaria, Paralysis (Brain Hemorrhage)",5,7
Impetigo,25,18,4,33,12,20,Chills +  Vomiting,"Tuberculosis, Heart Attack, Hepatitis C",6,7
Impetigo,25,18,4,33,35,20,Muscle Weakness +  Stiff Neck,"Arthritis, Gastroenteritis, Fungal Infection",4,7
Impetigo,25,5,38,47,12,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Diabetes , Dengue",6,7
Fungal Infection,15,35,35,11,12,20,Acidity +  Indigestion,"Migraine, Hypertension , Hypoglycemia",2,7
Fungal Infection,25,27,18,19,12,20,Itching +  Skin Rash,"Chicken Pox, Malaria, Allergy",2,7
Fungal Infection,15,27,18,19,12,20,Neck Pain +  Knee Pain,"Osteoarthristis, Tuberculosis, Hepatitis B",0,7
Fungal Infection,15,35,18,19,12,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Psoriasis, Hepatitis D",2,7
Fungal Infection,15,35,35,19,12,20,Skin Rash +  Joint Pain,"Psoriasis, Paralysis (Brain Hemorrhage), Diabetes",2,7
Fungal Infection,25,27,18,19,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Typhoid, Gerd",6,7
Fungal Infection,15,27,18,19,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Hepatitis B, Jaundice",0,7
Fungal Infection,15,35,18,19,12,20,Itching +  Vomiting,"Chronic Cholestasis, Dimorphic Hemmorhoids(Piles), Migraine",0,7
Fungal Infection,15,35,35,19,12,20,Muscle Wasting +  Patches In Throat,"Aids, Arthritis, Urinary Tract Infection",1,7
Fungal Infection,15,35,35,11,12,20,Stomach Pain +  Acidity,"Gerd, Migraine, Osteoarthristis",6,7
Allergy,8,33,11,45,12,20,Joint Pain +  Vomiting,"Hepatitis D, Migraine, Osteoarthristis",6,7
Allergy,24,9,50,19,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Hepatitis C, Cervical Spondylosis",0,7
Allergy,8,9,50,19,12,20,Continuous Sneezing +  Shivering,"Allergy, Chronic Cholestasis, Impetigo",0,7
Allergy,8,33,50,19,12,20,Skin Rash +  High Fever,"Impetigo, Gerd, Drug Reaction",3,7
Allergy,8,33,11,19,12,20,Joint Pain +  Vomiting,"Hepatitis A, Hyperthyroidism, Dengue",5,7
Allergy,24,9,50,19,12,20,Chills +  Fatigue,"Pneumonia, Gerd, Urinary Tract Infection",1,7
Allergy,8,9,50,19,12,20,Fatigue +  Cramps,"Varicose Veins, Hypothyroidism, Chicken Pox",0,7
Allergy,8,33,50,19,12,20,Itching +  Vomiting,"Chronic Cholestasis, Migraine, Allergy",0,7
Allergy,8,33,11,19,12,20,Chills +  Vomiting,"Tuberculosis, Jaundice",5,7
Allergy,8,33,11,45,12,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Hepatitis A, Alcoholic Hepatitis",5,7
Gerd,27,1,48,44,4,3,Fatigue +  Weight Loss,"Diabetes , Acne, Chronic Cholestasis",1,7
Gerd,27,41,49,8,3,20,Vomiting +  Anxiety,"Hypoglycemia, (Vertigo) Paroymsal  Positional Vertigo, Chicken Pox",4,7
Gerd,27,1,49,8,3,20,Skin Rash +  High Fever,"Impetigo, Peptic Ulcer Diseae, Hepatitis A",6,7
Gerd,27,1,48,8,3,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Cervical Spondylosis, Psoriasis",0,7
Gerd,27,1,48,44,3,20,Stomach Pain +  Acidity,"Gerd, Varicose Veins, Hepatitis B",8,7
Gerd,27,1,48,44,4,20,Itching +  Stomach Pain,"Drug Reaction, Hepatitis D, Varicose Veins",4,7
Gerd,0,41,49,8,3,20,Continuous Sneezing +  Chills,"Common Cold, Impetigo, Hepatitis A",4,7
Gerd,27,41,49,8,3,20,Fatigue +  Yellowish Skin,"Hepatitis C, Hepatitis B, Malaria",4,7
Gerd,27,1,49,8,3,20,Fatigue +  Weight Loss,"Diabetes , Bronchial Asthma, Hyperthyroidism",4,7
Gerd,27,1,48,8,3,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Dengue, Osteoarthristis",1,7
Chronic Cholestasis,15,42,53,29,21,0,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Allergy",0,7
Chronic Cholestasis,29,47,33,25,0,30,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Paralysis (Brain Hemorrhage), Arthritis",8,7
Chronic Cholestasis,15,47,33,25,0,30,Joint Pain +  Vomiting,"Hepatitis E, Hypoglycemia, Tuberculosis",4,7
Chronic Cholestasis,15,42,33,25,0,30,Chills +  Vomiting,"Malaria, (Vertigo) Paroymsal  Positional Vertigo, Aids",1,7
Chronic Cholestasis,15,42,53,25,0,30,Fatigue +  Mood Swings,"Hyperthyroidism, Drug Reaction, Heart Attack",0,7
Chronic Cholestasis,15,42,53,29,0,30,Continuous Sneezing +  Shivering,"Allergy, Alcoholic Hepatitis, Diabetes",7,7
Chronic Cholestasis,15,42,53,29,21,30,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Jaundice, Hepatitis C",4,7
Chronic Cholestasis,15,42,53,29,21,0,Itching +  Vomiting,"Chronic Cholestasis, Pneumonia, Tuberculosis",4,7
Chronic Cholestasis,15,42,53,29,21,0,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Drug Reaction, Gerd",2,7
Chronic Cholestasis,15,42,53,29,21,0,Vomiting +  Breathlessness,"Heart Attack, Cervical Spondylosis, Urinary Tract Infection",5,7
Drug Reaction,15,35,44,5,28,20,Shivering +  Chills,"Allergy, Dimorphic Hemmorhoids(Piles), Hepatitis E",9,7
Drug Reaction,15,37,9,39,12,20,Joint Pain +  Vomiting,"Hepatitis D, Hypoglycemia, Varicose Veins",8,7
Drug Reaction,15,35,9,39,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, (Vertigo) Paroymsal  Positional Vertigo, Hepatitis D",1,7
Drug Reaction,15,35,44,39,12,20,Joint Pain +  Vomiting,"Hepatitis E, Varicose Veins, Heart Attack",4,7
Drug Reaction,15,35,44,5,12,20,Muscle Weakness +  Stiff Neck,"Arthritis, Hyperthyroidism, Hypertension",4,7
Drug Reaction,25,37,9,39,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Psoriasis, Peptic Ulcer Diseae",2,7
Drug Reaction,15,37,9,39,12,20,Itching +  Vomiting,"Jaundice, Pneumonia, Common Cold",5,7
Drug Reaction,15,35,9,39,12,20,Skin Rash +  Joint Pain,"Psoriasis, Chicken Pox, Impetigo",4,7
Drug Reaction,15,35,44,39,12,20,Fatigue +  Cramps,"Varicose Veins, Fungal Infection, Urinary Tract Infection",7,7
Drug Reaction,15,35,44,5,12,20,Fatigue +  Weight Loss,"Diabetes , Hypoglycemia, Impetigo",6,7
Peptic Ulcer Diseae,29,23,0,32,16,20,High Fever +  Blister,"Impetigo, Jaundice, Paralysis (Brain Hemorrhage)",1,7
Peptic Ulcer Diseae,29,19,0,32,16,20,Fatigue +  Cough,"Bronchial Asthma, Hypertension , Acne",3,7
Peptic Ulcer Diseae,14,23,0,32,16,20,Skin Rash +  Joint Pain,"Psoriasis, Hyperthyroidism, Hepatitis E",8,7
Peptic Ulcer Diseae,29,23,0,32,16,20,Fatigue +  Mood Swings,"Hyperthyroidism, Dimorphic Hemmorhoids(Piles), Gastroenteritis",4,7
Peptic Ulcer Diseae,29,19,0,32,16,20,Continuous Sneezing +  Chills,"Allergy, Varicose Veins, Gastroenteritis",8,7
Peptic Ulcer Diseae,29,19,29,32,16,20,Itching +  Vomiting,"Jaundice, Drug Reaction, Paralysis (Brain Hemorrhage)",0,7
Peptic Ulcer Diseae,29,19,29,0,16,20,Itching +  Vomiting,"Jaundice, Hypothyroidism, Allergy",6,7
Peptic Ulcer Diseae,29,19,29,0,26,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Chicken Pox, Typhoid",1,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Joint Pain +  Vomiting,"Hepatitis E, Urinary Tract Infection, Hepatitis C",5,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Cough +  High Fever,"Bronchial Asthma, Hepatitis B, Heart Attack",5,7
Aids,18,30,24,15,12,20,Stomach Pain +  Ulcers On Tongue,"Gerd, Arthritis",5,7
Aids,22,18,20,19,12,20,Fatigue +  Cough,"Bronchial Asthma, Heart Attack, Typhoid",4,7
Aids,18,18,20,19,12,20,Fatigue +  Yellowish Skin,"Hepatitis C, Malaria, Peptic Ulcer Diseae",1,7
Aids,18,30,20,19,12,20,Skin Rash +  Chills,"Dengue, Acne, Cervical Spondylosis",4,7
Aids,18,30,24,19,12,20,Stomach Pain +  Ulcers On Tongue,"Gerd, Pneumonia, Tuberculosis",7,7
Aids,18,30,24,15,12,20,Joint Pain +  Neck Pain,"Osteoarthristis, Fungal Infection, Hypertension",7,7
Aids,18,30,24,15,12,20,Continuous Sneezing +  Shivering,"Allergy, Cervical Spondylosis, Chronic Cholestasis",1,7
Aids,22,18,20,19,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Arthritis, Malaria",8,7
Aids,18,18,20,19,12,20,Shivering +  Chills,"Allergy, Dimorphic Hemmorhoids(Piles), Hepatitis E",3,7
Aids,18,30,24,19,12,20,Acidity +  Indigestion,"Migraine, Gerd, (Vertigo) Paroymsal  Positional Vertigo",0,7
Diabetes,11,46,39,24,17,1,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Allergy, Jaundice",6,7
Diabetes,11,46,39,24,17,1,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Paralysis (Brain Hemorrhage), Gastroenteritis",5,7
Diabetes,32,32,28,21,1,21,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Hypoglycemia, Hypertension",7,7
Diabetes,11,32,28,21,1,21,Continuous Sneezing +  Fatigue,"Common Cold, Peptic Ulcer Diseae, Fungal Infection",8,7
Diabetes,11,46,28,21,1,21,Skin Rash +  Chills,"Dengue, Alcoholic Hepatitis, Gastroenteritis",1,7
Diabetes,11,46,39,21,1,21,Chills +  Vomiting,"Tuberculosis, Malaria, Chronic Cholestasis",0,7
Diabetes,11,46,39,24,1,21,Chills +  Vomiting,"Typhoid, Allergy, Bronchial Asthma",8,7
Diabetes,11,46,39,24,17,21,Fatigue +  Mood Swings,"Hyperthyroidism, Hepatitis D, Urinary Tract Infection",4,7
Diabetes,11,46,39,24,17,1,Chills +  Vomiting,"Malaria, Chronic Cholestasis, Hypothyroidism",0,7
Diabetes,11,46,39,24,17,1,Bladder Discomfort +  Foul Smell Of Urine,"Urinary Tract Infection, Hypertension",8,7
Gastroenteritis,29,38,16,10,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Osteoarthristis",6,7
Gastroenteritis,29,38,16,10,12,20,Continuous Sneezing +  Chills,"Common Cold, Paralysis (Brain Hemorrhage), Alcoholic Hepatitis",5,7
Gastroenteritis,28,13,17,19,12,20,Joint Pain +  Vomiting,"Hepatitis E, Varicose Veins, Jaundice",8,7
Gastroenteritis,29,13,17,19,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Hepatitis B, Hypoglycemia",5,7
Gastroenteritis,29,38,17,19,12,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Osteoarthristis, Paralysis (Brain Hemorrhage)",3,7
Gastroenteritis,29,38,16,19,12,20,Weight Loss +  Restlessness,"Diabetes , Urinary Tract Infection, Varicose Veins",6,7
Gastroenteritis,29,38,16,10,12,20,Joint Pain +  Vomiting,"Hepatitis D, Dimorphic Hemmorhoids(Piles), Dengue",0,7
Gastroenteritis,28,13,17,19,12,20,Fatigue +  Cramps,"Varicose Veins, Chicken Pox, Osteoarthristis",0,7
Gastroenteritis,29,13,17,19,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Hyperthyroidism, Common Cold",1,7
Gastroenteritis,29,38,17,19,12,20,Cough +  High Fever,"Bronchial Asthma, (Vertigo) Paroymsal  Positional Vertigo, Hepatitis B",6,7
Bronchial Asthma,11,11,24,4,10,19,Vomiting +  Breathlessness,"Heart Attack, Hyperthyroidism, Hepatitis B",8,7
Bronchial Asthma,9,18,7,16,23,20,Joint Pain +  Vomiting,"Hepatitis D, Gastroenteritis, Arthritis",0,7
Bronchial Asthma,11,18,7,16,23,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Dengue, Hepatitis C",5,7
Bronchial Asthma,11,11,7,16,23,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), (Vertigo) Paroymsal  Positional Vertigo, Hepatitis C",5,7
Bronchial Asthma,11,11,24,16,23,20,Chills +  Fatigue,"Typhoid, Drug Reaction, Hyperthyroidism",5,7
Bronchial Asthma,11,11,24,4,23,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Hepatitis C, Hypertension",9,7
Bronchial Asthma,11,11,24,4,10,20,Stomach Pain +  Acidity,"Gerd, Hepatitis D, Hepatitis A",5,7
Bronchial Asthma,11,11,24,4,10,19,Fatigue +  Weight Gain,"Hypothyroidism, Heart Attack, Allergy",9,7
Bronchial Asthma,9,18,7,16,23,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Bronchial Asthma, Typhoid",4,7
Bronchial Asthma,11,18,7,16,23,20,Vomiting +  Breathlessness,"Heart Attack, Hypertension , Hepatitis D",4,7
Hypertension,12,8,19,26,19,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Hyperthyroidism, Hepatitis C",6,7
Hypertension,5,14,30,23,12,20,Chills +  Vomiting,"Typhoid, Bronchial Asthma, Acne",5,7
Hypertension,12,14,30,23,12,20,Fatigue +  Weight Loss,"Diabetes , Dengue, Tuberculosis",5,7
Hypertension,12,8,30,23,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Gerd, Acne",5,7
Hypertension,12,8,19,23,12,20,High Fever +  Blister,"Impetigo, Hepatitis D, Hyperthyroidism",8,7
Hypertension,12,8,19,26,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Paralysis (Brain Hemorrhage), Migraine",5,7
Hypertension,12,8,19,26,19,20,Headache +  Chest Pain,"Hypertension , Dimorphic Hemmorhoids(Piles), Paralysis (Brain Hemorrhage)",1,7
Hypertension,5,14,30,23,12,20,Itching +  Skin Rash,"Chicken Pox, Hepatitis B, (Vertigo) Paroymsal  Positional Vertigo",9,7
Hypertension,12,14,30,23,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Heart Attack, Dimorphic Hemmorhoids(Piles)",1,7
Hypertension,12,8,30,23,12,20,Skin Rash +  Chills,"Dengue, Hypoglycemia, Bronchial Asthma",1,7
Migraine,0,19,23,3,9,25,Joint Pain +  Neck Pain,"Osteoarthristis, Peptic Ulcer Diseae, Malaria",6,7
Migraine,14,17,6,14,29,6,Chills +  Vomiting,"Typhoid, Hypertension , Gastroenteritis",4,7
Migraine,0,17,6,14,29,6,Vomiting +  Fatigue,"Jaundice, Peptic Ulcer Diseae, Heart Attack",0,7
Migraine,0,19,6,14,29,6,Fatigue +  Weight Loss,"Diabetes , Urinary Tract Infection, Typhoid",1,7
Migraine,0,19,23,14,29,6,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Arthritis, Gastroenteritis",4,7
Migraine,0,19,23,3,29,6,Fatigue +  Cough,"Bronchial Asthma, Chicken Pox, Hepatitis E",2,7
Migraine,0,19,23,3,9,6,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Gastroenteritis, Hyperthyroidism",8,7
Migraine,0,19,23,3,9,25,Continuous Sneezing +  Chills,"Common Cold, Dengue, Hepatitis E",2,7
Migraine,0,19,23,3,9,25,Fatigue +  Yellowish Skin,"Hepatitis C, Hyperthyroidism, Alcoholic Hepatitis",1,7
Migraine,0,19,23,3,9,25,Itching +  Skin Rash,"Chicken Pox, Allergy, Dimorphic Hemmorhoids(Piles)",0,7
Cervical Spondylosis,1,43,34,13,22,20,Vomiting +  Breathlessness,"Heart Attack, Diabetes , Hepatitis C",8,7
Cervical Spondylosis,1,43,34,13,22,20,Skin Rash +  Chills,"Dengue, (Vertigo) Paroymsal  Positional Vertigo, Gastroenteritis",0,7
Cervical Spondylosis,30,26,19,26,12,20,Vomiting +  Dehydration,"Gastroenteritis, Fungal Infection, Aids",6,7
Cervical Spondylosis,1,26,19,26,12,20,Chills +  High Fever,"Malaria, Hepatitis B, Cervical Spondylosis",4,7
Cervical Spondylosis,1,43,19,26,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Dimorphic Hemmorhoids(Piles), Urinary Tract Infection",0,7
Cervical Spondylosis,1,43,34,26,12,20,Joint Pain +  Vomiting,"Hepatitis D, Migraine, Hepatitis B",3,7
Cervical Spondylosis,1,43,34,13,12,20,Chills +  Vomiting,"Malaria, Dengue, Cervical Spondylosis",0,7
Cervical Spondylosis,1,43,34,13,22,20,Yellowish Skin +  Abdominal Pain,"Alcoholic Hepatitis, Hypoglycemia, Hepatitis C",9,7
Cervical Spondylosis,30,26,19,26,12,20,Itching +  Fatigue,"Hepatitis B, Pneumonia, Fungal Infection",6,7
Cervical Spondylosis,1,26,19,26,12,20,Chills +  Vomiting,"Typhoid, Dengue, Fungal Infection",0,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Itching +  Vomiting,"Jaundice, Hyperthyroidism, Gerd",0,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Itching +  Fatigue,"Hepatitis B, Jaundice, Chicken Pox",1,7
Paralysis (Brain Hemorrhage),12,44,1,19,12,20,Chills +  Vomiting,"Malaria, Aids, Bronchial Asthma",4,7
Paralysis (Brain Hemorrhage),29,44,1,19,12,20,Fatigue +  Cough,"Bronchial Asthma, Gerd, Gastroenteritis",4,7
Paralysis (Brain Hemorrhage),29,17,1,19,12,20,Skin Rash +  Joint Pain,"Psoriasis, Bronchial Asthma, Aids",8,7
Paralysis (Brain Hemorrhage),29,17,51,19,12,20,Joint Pain +  Vomiting,"Hepatitis A, Dimorphic Hemmorhoids(Piles), Psoriasis",4,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Muscle Wasting +  High Fever,"Aids, Paralysis (Brain Hemorrhage), Alcoholic Hepatitis",9,7
Paralysis (Brain Hemorrhage),12,44,1,19,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Peptic Ulcer Diseae, Psoriasis",3,7
Paralysis (Brain Hemorrhage),29,44,1,19,12,20,Continuous Sneezing +  Shivering,"Allergy, Paralysis (Brain Hemorrhage), Common Cold",2,7
Paralysis (Brain Hemorrhage),29,17,1,19,12,20,Headache +  Nausea,"(Vertigo) Paroymsal  Positional Vertigo, Gerd, Malaria",8,7
Jaundice,15,42,21,46,13,31,Vomiting +  Breathlessness,"Heart Attack, Gerd, Alcoholic Hepatitis",3,7
Jaundice,15,42,21,46,13,31,Skin Rash +  High Fever,"Impetigo, Heart Attack, Psoriasis",0,7
Jaundice,29,15,52,19,37,5,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Alcoholic Hepatitis, Varicose Veins",1,7
Jaundice,15,15,52,19,37,5,Fatigue +  Yellowish Skin,"Hepatitis C, Aids, Tuberculosis",1,7
Jaundice,15,42,52,19,37,5,Fatigue +  Cramps,"Varicose Veins, Hypothyroidism, Gerd",3,7
Jaundice,15,42,21,19,37,5,Itching +  Vomiting,"Chronic Cholestasis, Migraine",6,7
Jaundice,15,42,21,46,37,5,Fatigue +  Weight Gain,"Hypothyroidism, Urinary Tract Infection, Osteoarthristis",6,7
Jaundice,15,42,21,46,13,5,Fatigue +  Weight Loss,"Diabetes , Hepatitis C, Malaria",5,7
Jaundice,15,42,21,46,13,31,Acidity +  Indigestion,"Migraine, (Vertigo) Paroymsal  Positional Vertigo, Dengue",4,7
Jaundice,15,42,21,46,13,31,Joint Pain +  Neck Pain,"Osteoarthristis, Hyperthyroidism, Allergy",1,7
Malaria,6,42,24,40,12,20,Shivering +  Chills,"Allergy, Osteoarthristis, Psoriasis",8,7
Malaria,6,42,24,40,12,20,Fatigue +  Nausea,"Hepatitis C, Gastroenteritis, Cervical Spondylosis",4,7
Malaria,6,42,24,40,12,20,Chills +  Fatigue,"Pneumonia, Arthritis, Alcoholic Hepatitis",0,7
Malaria,29,18,45,18,24,7,Fatigue +  Weight Gain,"Hypothyroidism, Bronchial Asthma",4,7
Malaria,6,18,45,18,24,7,Itching +  Skin Rash,"Chicken Pox, Hypoglycemia, Hypertension",4,7
Malaria,6,42,45,18,24,7,Skin Rash +  Joint Pain,"Psoriasis, Paralysis (Brain Hemorrhage), Hepatitis A",5,7
Malaria,6,42,24,18,24,7,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Typhoid, Hyperthyroidism",0,7
Malaria,6,42,24,40,24,7,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Osteoarthristis, Arthritis",6,7
Malaria,6,42,24,40,12,7,Chills +  Fatigue,"Pneumonia, Urinary Tract Infection, Hypoglycemia",2,7
Malaria,6,42,24,40,12,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Osteoarthristis, Arthritis",6,7
Chicken Pox,15,35,21,24,13,12,Chills +  Vomiting,"Malaria, Hepatitis D, Tuberculosis",1,7
Chicken Pox,25,15,28,19,12,17,Muscle Weakness +  Swelling Joints,"Arthritis, Hepatitis E",7,7
Chicken Pox,15,15,28,19,12,17,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Urinary Tract Infection, Chicken Pox",1,7
Chicken Pox,15,35,28,19,12,17,Fatigue +  Yellowish Skin,"Hepatitis C, Drug Reaction, Osteoarthristis",6,7
Chicken Pox,15,35,21,19,12,17,Headache +  Chest Pain,"Hypertension , Hepatitis D, Heart Attack",4,7
Chicken Pox,15,35,21,24,12,17,Fatigue +  Weight Loss,"Diabetes , Malaria, Acne",8,7
Chicken Pox,15,35,21,24,13,17,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Dimorphic Hemmorhoids(Piles), Bronchial Asthma",8,7
Chicken Pox,15,35,21,24,13,12,Joint Pain +  Vomiting,"Hepatitis E, Arthritis, Varicose Veins",1,7
Chicken Pox,15,35,21,24,13,12,Pus Filled Pimples +  Blackheads,"Acne, Cervical Spondylosis, Chronic Cholestasis",1,7
Chicken Pox,15,35,21,24,13,12,Skin Rash +  Chills,"Dengue, Hypertension , Osteoarthristis",5,7
